,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Diameter,Attachment 2
30,PT86329,Rothenberger MINICUT I PRO no.1 professional tube cutter 3-16mm,Rothenberger,19.46,"This Rothenberger tube cutter cuts copper, brass, aluminium and thin-walled steel pipes of 3 - 16mm diameters.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger MINICUT I PRO no.1 professional tube cutter 3-16mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/29/NW-T86329_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PN39439,Rothenberger Rocut plastic pipe shear 0-26mm,Rothenberger,29.16,"These Rothenberger Rocut pipe shears for 0 - 26mm pipes has a stainless steel blade for quick, accurate cutting.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Rocut plastic pipe shear 0-26mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/39/NW-N39439_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT85915,Rothenberger Rotrac copper tube cutter 3-42mm,Rothenberger,64.61,"This robust Rothenberger Rotrac 70011 tube cutter cuts copper, brass, aluminium and thin-walled steel pipes in 6 - 42mm sizes. Fitted with an internal deburrer, this tool provides a smooth, ready to use finish.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Rotrac copper tube cutter 3-42mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/15/NW-T85915_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PN39702,Rothenberger Minicut 2000 minicut 2000 tube cutter 3-22mm,Rothenberger,27.05,"This Rothenberger tube cutter cuts copper, brass, aluminium and thin-walled steel pipes of 3 - 22mm diameters.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Minicut 2000 minicut 2000 tube cutter 3-22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/02/NW-N39702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT64056,Rothenberger Pipeslice Cutter Wheel 8.8803 pipe slice cutter wheel,Rothenberger,3.29,"This Rothenberger replacement cutting wheel or blade is for a pipe slice copper tube cutter. It is compatible with 15, 22 and 28mm diameter pipes.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Pipeslice Cutter Wheel 8.8803 pipe slice cutter wheel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/56/NW-T64056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PN39440,Rothenberger copper tube cutter 6-35mm,Rothenberger,61.46,"This robust and effective Rothenberger 70027R tube cutter cuts copper, brass, aluminium and thin-walled steel pipes of 6 - 35mm size. Allowing for continuous operation and a smooth finish, the cutter contains a retractable internal pipe deburrer and spare cutter wheel in its handle.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger copper tube cutter 6-35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/40/NW-N39440_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PN05002,Monument MON1810 autocut pipe cutter 10mm,Monument,20.08,"Ideal for cutting pipes in hard to access spots, this Monument MON1810 pipe cutter cuts copper pipe up to 10mm in diameter.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Monument MON1810 autocut pipe cutter 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/02/NW-N05002_wm.jpg,,,,N,Metal,10mm,MON1810,Pipe Cutter,N,For Copper Pipes in Awkward Places,For cutting copper pipes in awkward places,Cuts only exact size of copper pipe,Not for use on stainless steel,Cuts in single direction,With ratchet handles,,,,,,,,,,,,
37,PT86886,Rothenberger Cutting 3 piece pipe slice kit with case 15-22-28mm,Rothenberger,74.16,"Allowing for effortless one-handed use, this Rothenberger pipe slice kit accurately cuts 15, 22 and 28mm copper tube. Rotating within its own radius, this tool can be used in tight, hard to access places and has an automatic self-clamping action for smoother cutting with no risk of deformation.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Cutting 3 piece pipe slice kit with case 15-22-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/86/NW-T86886_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P517758,JG Speedfit pipe cutter up to 22mm,JG Speedfit,31.38,This JG Speedfit pipe cutter offers clean cutting of barrier pipes up to 22mm.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> JG Speedfit pipe cutter up to 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/58/NW-517758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_PipeConnection_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/JG_Speedfit_Plumbing_Product_Guide.pdf
39,PN83310,Rems Akku-Press 14V ACC 99-110R akku-press 15-54 set,Rems,4050.23,"A cordless radial pressing tool, the REMS Akku-Press 14V ACC is perfect for working overhead or in awkward confined spaces thanks to its compact design. Suitable for creating the commonly used press fittings of 10 - 54mm and for all REMS pressing and cropping tongs (except mini-tongs), the portable ACC press fits with a single button, compressing via closed jaws before opening again, ready for the next press.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rems Akku-Press 14V ACC 99-110R akku-press 15-54 set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/10/NW-N83310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Rems_Power_Akku_Mini_Ax-Press_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
