,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Type,Operating Temperature,Warranty,Hazardous,Approvals,Max Pressure,Material,Operating Pressure,Maximum Operating Temperature,Supplier Product Code,WEEE Compliant,Application,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Boiler Section,Type,Colour,Pack Quantity,Depth (mm),Mains Connection Size and Type,System Connection Size and Type,Display Type,Drain Connection,Feature 12,Feature 13,Feature 14,Feature 15,Finish
47,P894080,Altecnic Robokit 109-5007 compact sealed system kit 18ltr,Altecnic,136.8,"Ideal for installation in an airing or kitchen cupboard, the Altecnic Robokit 18L sealed system kit has a low profile design and includes an assembly connector allowing for left or right-handed fitting to an existing system. Doing away with the need to fit, feed and vent a tank, this compact sealed system kit, complete with expansion vessel, pressure gauge, safety relief valve and filling loop, is a simple choice for domestic water heating.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Altecnic Robokit 109-5007 compact sealed system kit 18ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/80/894078_894080_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Altecnic_Robokit_Compact-SS_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_Robokit_Compact-SS_Tech.pdf,,,,,,,,,,,,,,,,,
48,PS04911,JET Range JHEV JET Range 100 heating expansion vessel 1000ltr 6bar,JET Range,1237.74,"Designed for sealed heating and chilled systems, this 1000L capacity JET Range JHEV expansion vessel has a tough and hardwearing steel shell and butyl rubber diaphragm. Intended to maintain the operating pressure in heating and cooling systems, this easy to install expansion vessel safely accommodates the expansion and contraction caused by system temperature changes.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> JET Range JHEV JET Range 100 heating expansion vessel 1000ltr 6bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/19/S04907_S04919_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_o/&m/Flexcon Top O&M.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/S04900_S04911 Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/00/0l/Jet_Expansion V_1000L.pdf,,,,,,,,,,,,,,,,
49,PS04909,JET Range JHEV JET Range 600 heating expansion vessel 600ltr 6bar,JET Range,868.88,"Designed for sealed heating and chilled systems, this 600L capacity JET Range JHEV expansion vessel has a tough and hardwearing steel shell and butyl rubber diaphragm. Intended to maintain the operating pressure in heating and cooling systems, this easy to install expansion vessel safely accommodates the expansion and contraction caused by system temperature changes.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> JET Range JHEV JET Range 600 heating expansion vessel 600ltr 6bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/19/S04907_S04919_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_o/&m/Flexcon Top O&M.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/S04900_S04911 Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/60/0l/Jet_Expansion V_600L.pdf,,,,,,,,,,,,,,,,
50,P537593,Altecnic Vertical PV25W potable expansion vessel 24ltr,Altecnic,191.49,"Resistant to ethylene and propylene glycol mixtures, the 25L capacity Altecnic Vertical PV-W expansion vessel offers low gas permeability. Made of robust carbon steel, the PV-W vessel has a long lasting epoxy finish and includes a replaceable bladder for ease of maintenance. PV-W is one in a broad range of vessels designed to offer flexibility of installation in almost any heating or cooling system.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Altecnic Vertical PV25W potable expansion vessel 24ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/93/537592_537593_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Altecnic_Expansion_Vessels_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_VrtclExpansionVessels_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,,,,,,,,,,,,,,,,
51,P117943,Worcester Bosch Greenskies solar expansion vessel  25ltr Silver,Worcester Bosch,71.3,The Worcester Bosch solar expansion vessel for closed solar systems collects heat transfer medium during heat-up.,Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Worcester Bosch Greenskies solar expansion vessel  25ltr Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/43/NW-117943_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Expansion_Vessel_Technical.pdf,,,,,,,,,,,,,,,,,,
52,PS04919,JET Range Potable S04919 – 500L expansion vessel 500ltr 10bar,JET Range,725.74,This 500L capacity JET Range potable water expansion vessel is suitable for use in both domestic and commercial settings for sealed chilled and hot water systems.,Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> JET Range Potable S04919 – 500L expansion vessel 500ltr 10bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/19/S04907_S04919_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Jet_S04912-S04922_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Potable_Wtr_Vessel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ss/el/Jet_Transprtn_Storg_Expansion_Vessel.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Potable_Water_Vessel_Technical.pdf,,,,,,,,,,,,,,,
53,PS04907,JET Range JHEV JET Range 400 heating expansion vessel 400ltr 6bar,JET Range,727.2,"Designed for sealed heating and chilled systems, this 400L capacity JET Range JHEV expansion vessel has a tough and hardwearing steel shell and butyl rubber diaphragm. Intended to maintain the operating pressure in heating and cooling systems, this easy to install expansion vessel safely accommodates the expansion and contraction caused by system temperature changes.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> JET Range JHEV JET Range 400 heating expansion vessel 400ltr 6bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/19/S04907_S04919_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_o/&m/Flexcon Top O&M.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/40/0l/Jet_Expansion V_400L.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/S04900_S04911 Datasheet.pdf,,,,,,,,,,,,,,,,
54,P891524,FLEXCON DIGITAL PRESS UNIT 280DS,Flamco,3191.76,"Floor-standing, the Flamco Flexfiller 280DS is a 18LPM flow rate top-up pressurisation unit designed with a 18L internal break tank. This unit is suitable for industrial, commercial or large domestic installations and is available in both single and twin pump configurations. Fitted with an LED screen, the Flexfiller offers a range of features for ease of operation and maintenance, including flood protection and event logging.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> FLEXCON DIGITAL PRESS UNIT 280DS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/24/891524_wm.jpg,,5 to 85,30 months from Date of Supply (DOS) or 2 years from Date Of Commissioning (DOC) whichever is sooner.,N,,,,,,17394,N,,,"For system volumes up to 300,000L",Fluid Protection Category 5 (AB weir overflow),System fill mode,With 12 month on-screen service reminder,With 230V 50Hz 1ph electric pump,Black RAL 9005 finish,MODBUS RTU communication protocol,Password protected,Sequential programming menu,Pressure setting in 0.1 bar increments,Pump pulse option,,,,,,,Digital Pressurisation Unit,Black,,330,15 mm,15 mm,LED,22 mm,Flood protection includes pump runtime limiter and excessive start alarm,"Event logging for alarm activations, pump run counter, cumulative run timer and electrical interuption","Volt-free contacts for common alarm (N/C), high/low pressure alarms (N/O) and sensor and pump health (N/O)","Warranty to 30 months from date of supply or or 2 years from date of commission, whichever is soonest",
55,PS04908,JET Range JHEV JET Range 500 heating expansion vessel 500ltr 6bar,JET Range,843.25,"Designed for sealed heating and chilled systems, this 500L capacity JET Range JHEV expansion vessel has a tough and hardwearing steel shell and butyl rubber diaphragm. Intended to maintain the operating pressure in heating and cooling systems, this easy to install expansion vessel safely accommodates the expansion and contraction caused by system temperature changes.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> JET Range JHEV JET Range 500 heating expansion vessel 500ltr 6bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/19/S04907_S04919_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/50/0l/Jet_Expansion V_500L.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_o/&m/Flexcon Top O&M.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/S04900_S04911 Datasheet.pdf,,,,,,,,,,,,,,,,
56,P891171,Flamco Flexcon Flexcon 110 - 1000 heating vessel 300ltr 10bar,Flamco,792.15,"With a tough welded construction and epoxy powder-coated finish, the 300L capacity Flamco Flexcon expansion vessel is built to last. Intended for use in sealed heating installations and chilled water (cooling) installations, the Flexcon takes the strain of water expansion to ensure a safe level of pressure is maintained.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Flamco Flexcon Flexcon 110 - 1000 heating vessel 300ltr 10bar,,Expansion vessel;Mounting kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/72/891171_891172_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Flamco_Product_Overview_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flamco_Flexcon_Vessel-300L_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Flamco_Flexcon_Expansion-V_Install.pdf,,,,,,,,,,,,,,,,
57,P700103,Global Water Solutions Challenger GCB-450LV pressure vessel 450ltr,Global Water Solutions,1216.04,"Designed with a patented controlled action CAD-2 diaphragm assembly, the 450L capacity Global Water Solutions Challenger steel pressure vessel tank includes a 100% butyl diaphragm with precision moulded copolymer polypropylene liner for excellent air and water separation. The Challenger's two-part polyurethane paint finish with epoxy undercoat provides ongoing UV and salt spray protection for robust longevity in difficult environments while the air chamber is sealed with a fixed O-ring and closed cell foam for years of leak-free life with no need for regular maintenance.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Global Water Solutions Challenger GCB-450LV pressure vessel 450ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/03/700103_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GWS_Challenger_PV-Tank_Technical.pdf,,,,,,,,,,,,,,,,,,
58,P117504,Worcester Bosch Greenskies solar expansion vessel connector,Worcester Bosch,90.07,This expansion vessel connector is intended to connect Worcester Bosch Greenskies central heating systems with a hot water cylinder to an expansion vessel.,Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Worcester Bosch Greenskies solar expansion vessel connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/04/117504_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Worcester_Greenskies_Solarpanel_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenskies_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,,
