,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 2,Attachment 3,Flow Rate,Voltage (V),Warranty,Phase,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Application,Fuel Type,Seasonal Space Heating Energy Efficiency %,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 4,Connection Type,Diameter,Pressure,Weight,Overheat Protection,Direct / Indirect,Insulation Type,Material,Capacity Litre,Feature 15,Attachment 5,Attachment 6,Output,IP Rating,Mounting Type,BTU h,Connection Size,Energy Efficiency Class,Attachment 7,Style,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Number of Channels,Orientation,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Pack Type,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Amps,Position,Pump Type,Watts,Positive / Neutral / Universal,Twin / Single,Size,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Approvals,Operating Pressure,Maximum Operating Temperature,Max System Pressure Cold (Bar),Number of Outlets,Number of Spray Patterns,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry,Water Heating Energy Efficiency,Cable Entry,Pack Size,Feature 16,Dimensions mm (H x W x D),Feature 17,Feature 18,Feature 19,Water Entry Points
117,P222079,Drayton Wiser thermostat kit 2,Drayton,125.0,"Allowing for convenient control of your heating via the Wiser Heat smartphone app, this Drayton Wiser two-channel thermostat pack is suitable for use with a conventional system and can be wired into an existing cylinder for hot water control. It is supplied with an OpenTherm module and both a wall bracket and a stand for flexibility of installation.",Offers and promotions/Trade Deals/Trade Deals.csv -> Drayton Wiser thermostat kit 2,,Room thermostat;Thermostat stand;Thermostat wall bracket;2x AA batteries;2-channel Heat HubR;OpenTherm module;Wall plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/99/NW-304799_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Drayton_Wiser_RoHS_Certificate.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Wiser_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Drayton_Wiser_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,P241090,CenterRad Deco radiator pack 600mm DG 1000mm 5365B,CenterRad,200.79,"The contemporary CenterRad Deco horizontal flat panel radiator includes all the great features of the CenterRad Plan with the addition of a sleek decorative front panel designed to fit effortlessly into a modern residential or commercial setting. With a white powder-coated steel finish, the 5365 BTU/h Deco is the ideal combination of good looks and high performance and is an excellent alternative to the classical lines of the CenterRad Compact or CenterRail towel warmer.",Offers and promotions/Trade Deals/Trade Deals.csv -> CenterRad Deco radiator pack 600mm DG 1000mm 5365B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/241073_241100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Deco_Label_Rear.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Compact_Label_Rear.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/34363_CenterRad_Brochure_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/nt/Center_LeafletToPrint.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/co/32024_Tech_Sheet_CenterRad_Deco.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Deco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PD74296,Ariston Pro1 Eco 50 50L Wall Hung Water Heater pack,Ariston,360.0,"Easy to use and packed with great features, the modern 50L Ariston Pro1 Eco unvented storage electric heater is designed for use in small and medium homes or light commercial settings, providing safe, reliable hot water with ease. Incorporating an intuitive user interface for ultra-simple temperature setting and control, the 3kW Pro1 Eco also includes a comprehensive set of safety features and an Eco Evo function for huge energy and cost savings.",Offers and promotions/Trade Deals/Trade Deals.csv -> Ariston Pro1 Eco 50 50L Wall Hung Water Heater pack,,"Unvented water heater (with factory-fitted T&P) x1, Pressure relief valve set at 6 bar x1, Dielectric junctions x2, Tundish x1, Expansion Vessel x1, Check Valve x1, Pressure reducing Valve x1",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/97/D74295_D74297_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ariston_Pro1Eco_DataSheet.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_Pro1Eco_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PD10027,Bristan Cobalt bath filler tap pack,Bristan,129.99,"The bold, geometric lines of the Bristan Cobalt bath filler are an ideal addition to a contemporary bathroom. Made of long lasting brass and finished in chrome, this deck-mounted filler is compatible with all plumbing systems.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan Cobalt bath filler tap pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/76/NW-D77276_wm.jpg,,Chrome/Gloss,Cobalt,N,,,D10027 PK,Bath Filler,N,Precise glide,,,5.7 l/min,,5 Years,,165,,,,,,Chrome finish,Matching taps and showers available,Secure fix,Long life 1/4 turn ceramic disc valves,Metal back nuts for durability,Easy to use lever handles,Chrome-plated to BS EN 248,,,,Flow rate 5.7LPM,5 year warranty,,,,,,,,,,,,,Brass,,,,,,,,,,,,Modern,,,,,,,,,,,,,,,,,,,,,0.3,65,104,Low,No,No,Yes,Fixed,Deck,Lever,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,P419039,Salamander CT Xtra 75 twin shower pump 2bar pack,Salamander,142.0,"The 2 bar Salamander CT75 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Offers and promotions/Trade Deals/Trade Deals.csv -> Salamander CT Xtra 75 twin shower pump 2bar pack,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/42/NW-C88042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Installation.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_GravityBooster_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CTXtra_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,P241059,CenterRad Deco radiator pack 600mm SG 700mm 1983B,CenterRad,100.39,"The contemporary CenterRad Deco horizontal flat panel radiator includes all the great features of the CenterRad Plan with the addition of a sleek decorative front panel designed to fit effortlessly into a modern residential or commercial setting. With a white powder-coated steel finish, the 1983 BTU/h Deco is the ideal combination of good looks and high performance and is an excellent alternative to the classical lines of the CenterRad Compact or CenterRail towel warmer.",Offers and promotions/Trade Deals/Trade Deals.csv -> CenterRad Deco radiator pack 600mm SG 700mm 1983B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/241045_241072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Deco_Label_Rear.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Compact_Label_Rear.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/34363_CenterRad_Brochure_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/nt/Center_LeafletToPrint.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/co/32024_Tech_Sheet_CenterRad_Deco.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Deco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PD35290,Mira Sport manual single outlet electric shower 9.0kW,Mira,183.0,"Enjoy a luxurious showering experience with the Mira Sport 9.0kW manual single outlet electric shower. A simple chrome and white design, this shower is supplied complete with separated power and temperature controls and a four-mode handset, allowing every user to enjoy a bespoke showering experience, whether that's an invigorating post-workout cool down or a relaxing warm deluge.",Offers and promotions/Trade Deals/Trade Deals.csv -> Mira Sport manual single outlet electric shower 9.0kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/33/D90832_D90833_wm.jpg,,White / Chrome,Sport,N,,,D35290 PK,,N,With 120mm handset,,,N/A (conditions apply),,2 years,,90,,,,,,Includes 4x spray modes,White and chrome finish,A-rated efficiency,2 year warranty,,,,,,,,,,,,,,,,10 BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,4,XS,A,15 dB,Manual,120,358,215,90,1.25m,"Left (rising, falling & rear)",39,"Left (rising, falling & rear)",,,,,,,
124,P241079,CenterRad Deco radiator pack 450mm DG 1000mm 4276B,CenterRad,183.49,"The contemporary CenterRad Deco horizontal flat panel radiator includes all the great features of the CenterRad Plan with the addition of a sleek decorative front panel designed to fit effortlessly into a modern residential or commercial setting. With a white powder-coated steel finish, the 4276 BTU/h Deco is the ideal combination of good looks and high performance and is an excellent alternative to the classical lines of the CenterRad Compact or CenterRail towel warmer.",Offers and promotions/Trade Deals/Trade Deals.csv -> CenterRad Deco radiator pack 450mm DG 1000mm 4276B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/241073_241100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Deco_Label_Rear.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/34363_CenterRad_Brochure_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Compact_Label_Rear.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/nt/Center_LeafletToPrint.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/co/32024_Tech_Sheet_CenterRad_Deco.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Deco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PD08096,Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,Grundfos,100.0,"Designed to minimise turbulence in the pump head, the Grundfos STR2 regenerative shower pump provides powerful performance without high levels of noise. Running on a smooth and reliable AC induction motor, this pump is fitted with a regenerative impeller for fewer system air pockets. Ideal for shower systems containing a lot of bends and elbows, the STR2 offers reliable flow rates of up to 0.6M³/h.",Offers and promotions/Trade Deals/Trade Deals.csv -> Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,,Pump;Stainless steel hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/96/NW-D08096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR_STR_SSP_STP_SSN_Install.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_Shower_Pump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,P241058,CenterRad Deco radiator pack 600mm SG 600mm 1694B,CenterRad,90.04,"The contemporary CenterRad Deco horizontal flat panel radiator includes all the great features of the CenterRad Plan with the addition of a sleek decorative front panel designed to fit effortlessly into a modern residential or commercial setting. With a white powder-coated steel finish, the 1694 BTU/h Deco is the ideal combination of good looks and high performance and is an excellent alternative to the classical lines of the CenterRad Compact or CenterRail towel warmer.",Offers and promotions/Trade Deals/Trade Deals.csv -> CenterRad Deco radiator pack 600mm SG 600mm 1694B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/241045_241072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Deco_Label_Rear.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Compact_Label_Rear.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/nt/Center_LeafletToPrint.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Deco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,P222078,Drayton Wiser thermostat kit 1,Drayton,119.0,"Allowing for convenient control of your heating via the Wiser Heat smartphone app, this Drayton Wiser single-channel thermostat pack is suitable for use with a combi boiler. It is supplied with an OpenTherm module and both a wall bracket and a stand for flexibility of installation.",Offers and promotions/Trade Deals/Trade Deals.csv -> Drayton Wiser thermostat kit 1,,Room thermostat;Thermostat stand;Thermostat wall bracket;2x AA batteries;1-channel Heat HubR;OpenTherm module;Wall plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/98/NW-304798_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Wiser_Installation.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Wiser_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,P241064,CenterRad Deco radiator pack 600mm SG 1400mm 4021B,CenterRad,199.09,"The contemporary CenterRad Deco horizontal flat panel radiator includes all the great features of the CenterRad Plan with the addition of a sleek decorative front panel designed to fit effortlessly into a modern residential or commercial setting. With a white powder-coated steel finish, the 4021 BTU/h Deco is the ideal combination of good looks and high performance and is an excellent alternative to the classical lines of the CenterRad Compact or CenterRail towel warmer.",Offers and promotions/Trade Deals/Trade Deals.csv -> CenterRad Deco radiator pack 600mm SG 1400mm 4021B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/241045_241072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Deco_Label_Rear.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Compact_Label_Rear.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/nt/Center_LeafletToPrint.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Deco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PD73816,Ariston Velis Evo 80 storage water heater 80ltr White,Ariston,415.0,"The compact, Italian-designed Ariston Velis Evo 80L electric water heater has an ultra-slim twin tank configuration for compact installation without compromising on hot water availability, ideal for those busy spots where space is at a premium and particularly suitable for leisure and hospitality premises thanks to a dual 1.5kW power supply. The wall-mounted Velis Evo is packed full of great features, including ABS and anti-legionella safety functions and Eco Evo for impressive efficiency and cost savings.",Offers and promotions/Trade Deals/Trade Deals.csv -> Ariston Velis Evo 80 storage water heater 80ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/16/D73815_D73816_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/o_/ds/Ariston_Velis_Evo_DS.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_Velis_Evo_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ariston_Velis_Evo_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PD35292,Mira Sport manual dual outlet electric shower 9.0kW,Mira,258.0,"Easy to install, the Mira Sport manual dual outlet 9kW electric shower offers retrofit options to minimise the hassle of a bathroom refit. Attractively styled in white and chrome, this shower is supplied complete with a luxury overhead soaking shower and a targeted handheld head, providing you with a range of showering options to suit your mood.",Offers and promotions/Trade Deals/Trade Deals.csv -> Mira Sport manual dual outlet electric shower 9.0kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/36/D90836_wm.jpg,,White / Chrome,Sport,N,,,D35292 PK,,N,Includes 120mm handheld spray,,,N/A (conditions apply),,2 years,,90,,,,,,Includes large 250mm overhead showerhead,With 5x spray patterns total,White and chrome finish,2 year warranty,,,,,,,,,,,,,,,,10 BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,5,XS,A,15 dB,Manual,250,358,215,90,1.25m,"Left (rising, falling & rear)",39,"Left (rising, falling & rear)",,,,,,,
131,P419038,Salamander CT Xtra 50 twin shower pump 1.5bar pack,Salamander,109.0,"The 1.5 bar Salamander CT50 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Offers and promotions/Trade Deals/Trade Deals.csv -> Salamander CT Xtra 50 twin shower pump 1.5bar pack,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/C88041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Installation.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_GravityBooster_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CTXtra_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PD10024,Bristan Cobalt basin mixer tap pack,Bristan,62.0,"The bold, geometric lines of the Bristan Cobalt basin mixer are an ideal addition to a contemporary bathroom. Made of long lasting brass and finished in chrome, this deck-mounted bathroom tap is compatible with all plumbing systems.",Offers and promotions/Trade Deals/Trade Deals.csv -> Bristan Cobalt basin mixer tap pack,,Basin mixer;Flexible tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/24/NW-D10024_wm.jpg,,Chrome/Metallic,Cobalt,N,,,D10024 PK,Basin Mixer,N,Precise glide,,,5 L/min at 5 barL/min at 5 bar,,5 Years,,145,,,,,,Chrome finish,Matching taps and showers available,Secure fix,Long life ceramic cartridge for durability and ease of use,Metal back nuts for durability,Easy to use lever handle,Chrome-plated to BS EN 248,,,,Flow rate 5LPM at 5 bar,5 year warranty,,,,,,,,,,,,,Brass,,,,,,,,,,,,Modern,,,,,,,,,,,,,,,,,,,,,0.3,-4.44444444444444,100,,No,No,Yes,Fixed,Deck,Lever,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
