,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 6,Feature 14,Pack Quantity,Attachment 7,Attachment 8
17,PS08026,Acv WaterMaster 45 Evo condensing direct gas-fired water heater,Acv,4948.0,"Offering fully condensing operation, the ACV WaterMaster 25 Evo direct gas-fired water heater offers excellent levels of efficiency alongside low NOx levels. A compact unit, it is ideal for smaller size plant rooms and is suitable for vented systems, though it can be converted to unvented use quickly and easily using the appropriate kit. Simple to install thanks to pre-fitted components, the WaterMaster requires no anode protection, helping to minimise maintenance time and costs.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Acv WaterMaster 45 Evo condensing direct gas-fired water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/26/S08026_wm.jpg,White,Threaded,80,WaterMaster,5 Years,177 kg,N,L,60 dB(A),45 kW,708,23 mins,Yes,8.6,87,Multi Point,Electronic,Yes,A,IP20,Stainless Steel,43.5,10,Floor Standing,1in,XB660003,,N,96 l,Delivers large peak and continuous volumes of hot water,Fully condensing for efficiency,Stores at 60°C to reduce legionella risk,Low NOx levels,Small footprint for installation in tight spaces,Low maintenance with no anode protection required,,,,,,Corrosion-resistant stainless steel heat exchanger and tank,Suitable for vented or unvented systems (kit required),Easy to use standardised ACVMax controls,Supplied with LPG kit for on-site conversion,Good access for service and maintenance,Supplied with factory fitted T&P relief valve,Compliant with latest Ecodesign regulations for DHW,,5 year warranty,,,
18,P137891,Andrews Water Heaters CLASSICflo BALANCED RSC 9/145 natural gas water heater,Andrews Water Heaters,3063.0,"The 145L Andrews CLASSICflo BALANCED RSC 9/145 water heater offers all the preferred features of the CLASSICflo, including simple operation controls and efficient CFC-free insulation, with the added benefit and convenience of a balanced flue. This concentric flue system draws air in from outside, an ideal feature for businesses such as salons, supermarkets or dry cleaners where internal air might be contaminated by chemicals.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters CLASSICflo BALANCED RSC 9/145 natural gas water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/92/137891_137892_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/l_/ps/Andrews_CLASSICflo_Bal_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_CLASSICflo_Bal_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_CLASSICflo_Bal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/137891_ErP.pdf,,,,,,,,,,,,,
19,PV33957,Lincat FilterFlow wall mounted water boiler with white glass front electric 3kw,Lincat,678.56,"Designed for use in small spaces, the compact Lincat FilterFlow white glass wall-mounted water boiler provides 24/7 on-tap boiling water with built-in filtration for improved water quality and reduced limescale build-up.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Lincat FilterFlow wall mounted water boiler with white glass front electric 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/57/NW-V33956_V33957_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lincat_WMB3FW_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Lincat_WMB3FB-WMB3FW_Installation.pdf,,,,,,,,,,,,,,,
20,P137907,Andrews Water Heaters ECOflo COMPACT EC20/190 natural gas water heater,Andrews Water Heaters,4195.0,"A highly efficient ErP A-rated condensing storage water heater, the 190L Andrew ECOflo COMPACT EC20/190 is designed to meet high hot water demands. Extremely compact, this floor standing storage heater can be installed individually or as part of a multiple installation, providing excellent siting flexibility, even in awkward locations. With impressive recovery rates and high gross efficiencies, the 20kW ECOflo COMPACT helps homeowners to save on their bills while maintaining reliable comfort.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters ECOflo COMPACT EC20/190 natural gas water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/07/137907_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/137907_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Ecoflo_Compact_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_EcoFlocompact_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_Water_Heaters_Spec_Guide.pdf,,,,,,,,,,,,,
21,P138773,Andrews Water Heaters MAXXflo EVO CWH 60/201 single hex water heater 60kW 200ltr,Andrews Water Heaters,8273.0,"Incorporating multiple stainless steel heat exchanger modules, the highly efficient 200L Andrews MAXXflo EVO CWH 60/201 single burner fully condensing floor-standing storage water heater provides fast, powerful hot water. Constructed from tough, high grade stainless steel, the 60kW MAXXflo EVO is built to last, minimising the need for ongoing maintenance and repair while keeping running costs and waste to a minimum with an eco-friendly ErP A rating.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters MAXXflo EVO CWH 60/201 single hex water heater 60kW 200ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/77/138772_138777_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_MAXXflo_EVO_WH_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_MAXXflo_EVO_30_60_WH_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/ps/Andrews_MAXXflo_EVO_WH_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_MAXXflo_EVO_WH_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_Water_Heaters_Spec_Guide.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/138773_ErP.pdf,,,,
22,P138380,Andrews Water Heaters ECOflo EC380/1400 wall hung natural gas condensing water heater,Andrews Water Heaters,9155.0,"Highly energy efficient, with an ErP A rating, the low NOx 380L Andrews ECOflo EC380/1400 fully condensing storage water heater offers impressive hot water recovery rates for comfort and convenience you can rely on. Featuring a Vitraglas® lined, thermally efficient tank protected by maintenance-free anodes and equipped with a Hydrojet® sediment reduction system, the 79.1kW ECOflo is designed to ensure uninterrupted hot water performance for years to come.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters ECOflo EC380/1400 wall hung natural gas condensing water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/80/138374_138380_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Ecoflo_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Ecoflo_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Andrews_WH_Spec_Guide_July_2020.pdf,,,,,,,,,,,,,,
23,PD73823,Ariston Next Evo X 11 LPG water heater 11ltr pack,Ariston,434.99,"Offering high levels of performance, the Ariston Next Evo X 11L gas instantaneous water heater is smartly designed to minimise wasted space, with a flat body just 16.5cm deep. Versatile and compact, this sleek unit is ideal for commercial leisure premises with a high demand for hot water, such as spas or gyms. Extremely efficient, this easy to use instantaneous heater is an LPG model with a gas conversion kit available to purchase separately if required.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Ariston Next Evo X 11 LPG water heater 11ltr pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/23/NW-D73823_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Ariston_Water_Heater_Range_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Next_Evo_X_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_Next_Evo_X_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Ariston_Next_Evo_X_Installations.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Ariston_Hot_Water_Brochure_2021.pdf,,,,,,,,,,,,
24,P138296,Andrews ECOflo horizontal flue kit 1480mm,Andrews,737.0,An Andrews ECOflo horizontal flue kit for all ECOflo 230 models.,Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews ECOflo horizontal flue kit 1480mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/97/138296_138297_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Andrews_ECOflo_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Ecoflo_Technical.pdf,,,,,,,,,,,,,,,
25,P138375,Andrews Water Heaters ECOflo EC230/700 wall hung natural gas condensing water heater,Andrews Water Heaters,6975.0,"Highly energy efficient, with an ErP A rating, the low NOx 230L Andrews ECOflo EC230/700 fully condensing storage water heater offers impressive hot water recovery rates for comfort and convenience you can rely on. Featuring a Vitraglas® lined, thermally efficient tank protected by maintenance-free anodes and equipped with a Hydrojet® sediment reduction system, the 41.3kW ECOflo is designed to ensure uninterrupted hot water performance for years to come.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters ECOflo EC230/700 wall hung natural gas condensing water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/80/138374_138380_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Ecoflo_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ps/Andrews_Multipoint_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/138375_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Ecoflo_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Andrews_WH_Spec_Guide_July_2020.pdf,,,,,,,,,,,,
26,P137875,Andrews Water Heaters CLASSICflo 10/105 standard NG water heater 10kW 105ltr,Andrews Water Heaters,1884.0,"Suitable for installation in vented, unvented or in boosted systems, the 105L capacity Andrews CLASSICflo 10/105 standalone gas-fired water heater is an ideal choice for heating water in light commercial premises as a replacement for outdated water heaters. Fast and simple to install and compatible with conventional flues, the low NOx 10kW output CLASSICflo offers easy servicing and maintenance, making it particularly popular with engineers.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters CLASSICflo 10/105 standard NG water heater 10kW 105ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/79/137875_137879_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Andrews_CLASSICfloWaterHeater_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_CLASSICflo_WH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/137875_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_Water_Heaters_Spec_Guide.pdf,,,,,,,,,,,,,
27,P138374,Andrews Water Heaters ECOflo EC230/600 wall hung natural gas condensing water heater,Andrews Water Heaters,6774.0,"Highly energy efficient, with an ErP A rating, the low NOx 230L Andrews ECOflo EC230/600 fully condensing storage water heater offers impressive hot water recovery rates for comfort and convenience you can rely on. Featuring a Vitraglas® lined, thermally efficient tank protected by maintenance-free anodes and equipped with a Hydrojet® sediment reduction system, the 35.1kW ECOflo is designed to ensure uninterrupted hot water performance for years to come.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters ECOflo EC230/600 wall hung natural gas condensing water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/80/138374_138380_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Ecoflo_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Ecoflo_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Andrews_WH_Spec_Guide_July_2020.pdf,,,,,,,,,,,,,,
