,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Dimensions (L x W x D),Range,Diameter,Nominal Running Current (A),Speed RPM,Phase,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
24,P614794,Pole Star ring mounted sucking fan 200mm 10w,Pole Star,260.27,"Suitable for use in industrial and commercial refrigeration, this Pole Star 200mm ring-mounted fan has four shaded poles, is single phase and runs at a nominal tension of 230VAC at 50/60Hz with an output power ranging from 10W.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star ring mounted sucking fan 200mm 10w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/94/NW-614793_614794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,,,,,,,,,,,,,,,,,,,,
25,P614791,Pole Star ring mounted sucking fan 172mm 5w,Pole Star,240.72,"Suitable for use in industrial and commercial refrigeration, this Pole Star 172mm ring-mounted fan has four shaded poles, is single phase and runs at a nominal tension of 230VAC at 50/60Hz with an output power ranging from 5W.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star ring mounted sucking fan 172mm 5w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/91/NW-614790_614791_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,,,,,,,,,,,,,,,,,,,,
26,P677938,Kelvion 3 phase fan motor,Kelvion,225.39,"This Kelvion Searle 3P, 200W fan motor is suitable for all KM models.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Kelvion 3 phase fan motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/38/NW-677938_wm.jpg,,,N,KM,"3P, 200 W",100461016,fan motor,N,To fit all models,,,,,,,,,,,,
27,P659906,Pump House sucking fan blade 200 x 25mm,Pump House,5.23,"Designed for use in multi-fit fan motors and refrigeration systems, this Pump House 200mm sucking fan blade is made of robust aluminium.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House sucking fan blade 200 x 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/06/NW-659906_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Assemblies_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
28,P680621,Pole Star P-star fan motor,Pole Star,329.54,"This Pole Star split capacitor blower motor mounts on four bolts on the non-drive end and includes sealed-for-life ball bearings and class B insulation. Continuously duty air over motor, this fitting is compatible with BME100, CME100, BMC100, KS10, KS20, KS25, KS35, KS40, KS45, KS55 and KS70.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star P-star fan motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/21/NW-680621_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_105FS70_DWG.pdf,,,,,,,,,,,,,,,,,,,,
29,P678294,Kelvion 3 phase 6 pole fan motor 400v 50/60hz,Kelvion,1289.81,"A Kelvion Searle 400V, 3P, six pole fan motor.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Kelvion 3 phase 6 pole fan motor 400v 50/60hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/94/NW-678294_wm.jpg,,,N,,"400 VAC at 50/60Hz, 3P",100461479,fan motor,N,Number of poles: 6,,,,,,,,,,,,
30,P683979,Danfoss Optyma Slim and Plus fan motor 68w Black,Danfoss,189.21,"Easy and quick to install and maintain, the Danfoss Optyma Slim and Plus 68W fan motor offers low noise levels suitable for use in residential areas. It is compatible with OP-LPHC048NTP00G, OP-LPHC048NTP00E, OP-LPHC068NTP00G, OP-LPHC068NTP00E, OP-MPHC026GSP00G, OP-MPZC030MTP00G, OP-MPZC030MTP00E, OP-MPHC034GSP00G, OP-MPZC048MTP00G, OP-MPZC048MTP00E, OP-MPZC060MTP00G, OP-MPZC060MTP00E, OP-MPUC034MLP00G, OP-MPUC034MLP00E, OP-MPUC046MLP00G, OP-MPUC046MLP00E, OP-LPHM026GSP00G, OP-LPHM048NTP00G, OP-LPHM048NTP00E, OP-LPHM068NTP00G, OP-LPHM068NTP00E, OP-MPHM026GSP00G, OP-MPHM034GSP00G, OP-MPUM034MLP00G, OP-MPUM034MLP00E, OP-MPUM046MLP00G, OP-MPUM046MLP00E, OP-MPUM057MLP00G, OP-MPUM057MLP00E and OP-MPGM034GSP00G.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Danfoss Optyma Slim and Plus fan motor 68w Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/79/NW-683979_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Optyma-Plus_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_c/at/Danfoss_Optyma_Pack_Cond_Unit_Cat.pdf,,,,,,,,,,,,,,,,,,,
31,P667392,Pump House axail fan motor ball 80 x 80 x 38mm,Pump House,68.81,"Compact in design, this Pump House 80 x 80 x 38mm axial mini shaded fan motor is made of a lightweight reinforced plastic. Promising low operational noise, the fan motor is suitable for use on refrigeration equipment, bottle coolers, vending machines and similar ventilating and cooling equipment.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House axail fan motor ball 80 x 80 x 38mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/95/NW-667392_667395_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Axial-FM_Datasheet.pdf,,,,,,,,,,,,,,,,,,,
32,P694911,Pole Star compact axial fan leads 120 x 120 x 25mm 230v,Pole Star,57.75,"A Pole Star 230V, 1P, 18W compact axial fan motor with ball bearings.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star compact axial fan leads 120 x 120 x 25mm 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/11/NW-694911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_PS1225BL-1_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,,,,,,,,,,,,,,,,,,,
33,P694861,Pole Star GMA 1 phase 4 pole mounted axial sucking fan 400mm,Pole Star,432.53,"Hardwearing, reliable and quiet in operation, this Pole Star GMA 400mm axial fan is suitable for use in a range of settings and applications, from gymnasiums to warehouses, agricultural extract and supply to lift shaft ventilation. Powered by an external rotor motor and fitted with a sickle blade, this fan offers a fixed airflow direction and degree of pitch and is supplied with a basket guard, although flat guards, wall mounting plates and cased tubes are all separately available.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pole Star GMA 1 phase 4 pole mounted axial sucking fan 400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/63/NW-694861_694863_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pole-Star_GMA1-400S-1_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Pole-Star_Fans_Catalogue-2015.pdf,,,,,,,,,,,,,,,,,,,
