,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Feature 4,Material Type,Nut Types,Type,Feature 5,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Attachment 2,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Bolt Type,Weight,Feature 6,Feature 7,Feature 8
20,PT83609,JET Range zinc plated penny washer 30mm (m8) (250),JET Range,0.2,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated penny washer 30mm (m8) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/09/NW-T83608_T83609_wm.jpg,,250,N,Steel,30mm,,Penny Washer,.8M30WMGOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Penny,,,,,,,,,,,,,,,,,,
21,P257458,"Center shower hose washer 1/2"" (5)",Center,1.44,"A handy spare, these Center 1/2"" shower hose washers ensure a watertight seal.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center shower hose washer 1/2"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/58/257458_wm.jpg,,5,N,Fibre,12,5,N/A,PPSSER374509,N,Pack of 5,Fibre construction,,,,,,,,,,,,,,,,,,,,,,,,
22,P257489,Center diaphragm washer 29 mm (1),Center,5.0,This Siamp 29mm diaphragm washer is a suitable replacement part for the repair of the brand's inlet valves.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center diaphragm washer 29 mm (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/89/257489_wm.jpg,,1,N,RubberPlastic,29 mm,1,N/A,PPSWAT374534,N,Rubber and plastic construction,"For fast, easy replacement",,,,,,,,,,,,,,,,,,,,,,,,
23,P257464,"Center pillar tap poly washer 1/2"" (10)",Center,2.18,"Ensuring a watertight seal, these Center 1/2"" poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center pillar tap poly washer 1/2"" (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/64/257464_wm.jpg,,10,N,Polyethylene,12,10,N/A,PPSTAP374516,N,Pack of 10,Low density polythene construction,,,,,,,,,,,,,,,,,,,,,,,,
24,P257453,Center tap hole stopper Chrome (10),Center,2.41,"A pack of Center 1/2"" flat taphole stoppers with chrome finish.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center tap hole stopper Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/53/257453_wm.jpg,,10,N,Rubber,12,10,N/A,PPSTAP374521,N,Pack of 10,Thermoplastic rubber/evoprene 964 construction,Chrome finish,,Fits most standard taps,,,,,,,,,,,,,,,,,,,,,
25,P257456,"Center rubber trap washer 1 1/4"" (5)",Center,1.4,"This pack of 2mm thickness Center 1 1/4"" rubber trap washers are suitable for replacing worn washers on trap inlets.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center rubber trap washer 1 1/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/56/257456_wm.jpg,,5,N,Rubber,1.1/4,5,N/A,PPSTAP374519,N,Pack of 5,Rubber construction,,,,,,,,,,,,,,,,,,,,,,,,
26,PM92104,M Greenaway And Son square plate washer BZP M10 x 5mm,M Greenaway And Son,1.98,These M Greenaway And Son 41 x 41 x 5mm square plate washer with 11mm inside diameter is made of mild steel with a bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son square plate washer BZP M10 x 5mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/04/NW-M92104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Channel_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1042_6_Technical.pdf,,,,,,,,,,,
27,PC40971,"Center CB top hat washer 1/2"" (Pack of 2)",Center CB,1.58,"These Center CB 1/2"" top hat washers are made of plastic.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center CB top hat washer 1/2"" (Pack of 2)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/72/NW-C40971_C40972_wm.jpg,,Pack of 2,N,Plastic,12,2,Top Hat Washer,UDC/40/971,N,Pack of 2,White colour,Operating temperature 0 to 60°C,,5 year warranty,,,Top Hat,,,,,,,,80,0 to 60,M6,-,-,-,,,,,
28,PN62111,Owlett Jaton JCP Shieldbolt shield anchor loose bolt 8mm x 25mm,Owlett Jaton,1.3,"These Owlett Jaton M8, 75mm length shield anchor loose bolts are made of steel with a zinc-plated and yellow passivated finish.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Owlett Jaton JCP Shieldbolt shield anchor loose bolt 8mm x 25mm",,1pc of bolt,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/11/N62111_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Owlett_Jaton_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT83566,JET Range zinc plated cold form hex nut (grade 8) (m8) (200 per bag),JET Range,0.16,This JET Range M8 size cold form hexagon nut is made of steel with a bright zinc finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated cold form hex nut (grade 8) (m8) (200 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,200 per bag,N,Steel,M8,,,.8MNXOFOZ,N,Reliable,Easy to replace,Grade 8 steel material,,Bright zinc-coated,BZP Steel,Hexagon,Hex Nut,,,,,,,,,,,,,,,,,,
