,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Feature 4,Material Type,Nut Types,Type,Feature 5,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Attachment 2,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Bolt Type,Weight,Feature 6,Feature 7,Feature 8
64,PM91710,"M Greenaway And Son bright zinc plated u-bolt 2.1/2"" (m10)",M Greenaway And Son,2.15,"These M Greenaway And Son M10, 65mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 2.1/2"" (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1616_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
65,PT87176,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 75mm (m20) (25 per bag),JET Range,11.03,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 75mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,N,Steel,M20 x 75mm,,,HTXOXM0200075Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,75,M20,Hexagon,,,,,,,,,,,,
66,PN57079,Owlett Jaton Gutter Bolts gutter bolt comes with nut zinc plated m6 x 30mm (200),Owlett Jaton,0.27,"Made of steel, these Owlett Jaton M6, 30mm gutter bolt and nuts are finished with a bright zinc plating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Owlett Jaton Gutter Bolts gutter bolt comes with nut zinc plated m6 x 30mm (200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/79/NW-N57079_wm.jpg,,200,N,Steel,,,,IS-OJ210780,N,Box of 200,Steel construction,Bright zinc-plated,Gutter Bolts,Countersunk bolt,,square,Assortment Set,,Gutter,Bolt and Nut,30,M6,Slotted,,,,,,,,,,,,
67,PT83588,JET Range zinc plated b-washer (m12) (500),JET Range,0.16,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated b-washer (m12) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,500,N,Steel,M12,,Flat Washer,.12MWFBOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Form B,,,,,,,,,,,,,,,,,,
68,PT87165,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 150mm (m16) (25 per bag),JET Range,10.25,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 150mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 150mm,,,HTBMET01600150Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,150,M16,Hexagon,,,,,,,,,,,,
69,PT87174,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 65mm (m20) (25 per bag),JET Range,9.69,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 65mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,N,Steel,M20 x 65mm,,,HTBMET02000065Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,65,M20,Hexagon,,,,,,,,,,,,
70,PM97928,JET Range Stud Bolt stud bolt BZP M10 70mm (500),JET Range,0.59,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 70mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range Stud Bolt stud bolt BZP M10 70mm (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT83565,JET Range zinc plated cold form hex nut (grade 8) (m6) (500 per bag),JET Range,0.08,This JET Range M6 size cold form hexagon nut is made of steel with a bright zinc finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated cold form hex nut (grade 8) (m6) (500 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,500 per bag,N,Steel,M6,,,.6MNXFOZ,N,Reliable,Easy to replace,Grade 8 steel material,,Bright zinc-coated,BZP Steel,Hexagon,Hex Nut,,,,,,,,,,,,,,,,,,
72,PT87135,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 55mm (m12) (100 per bag),JET Range,2.62,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 55mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,N,Steel,M12 x 55mm,,,HTBMET01200055Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,55,M12,Hexagon,,,,,,,,,,,,
73,PT87177,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m20) (25 per bag),JET Range,11.64,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,N,Steel,M20 x 80mm,,,HTXOXM0200080Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,80,M20,Hexagon,,,,,,,,,,,,
74,PM97932,JET Range Stud Bolt stud bolt BZP M10 150mm (100),JET Range,0.9,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 150mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range Stud Bolt stud bolt BZP M10 150mm (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT87193,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m24) (25 per bag),JET Range,20.51,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m24) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/NW-T87191_T87194_wm.jpg,,25 per bag,N,Steel,M24 x 90mm,,,HTBMET02400090Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,90,M24,Hexagon,,,,,,,,,,,,
76,PT87150,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m16) (50 per bag),JET Range,4.18,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,N,Steel,M16 x 40mm,,,HTBMET01600040Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,40,M16,Hexagon,,,,,,,,,,,,
77,PT83590,JET Range zinc plated b-washer (m20) (250),JET Range,0.45,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated b-washer (m20) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,250,N,Steel,M20,,Flat Washer,.20MWFBOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Form B,,,,,,,,,,,,,,,,,,
78,PIS5335,Owlett Jaton steel washer m6 Bright Zinc Plated (Pack of 30),Owlett Jaton,7.64,These Owlett Jaton M6 flat round washers are made of steel with a bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Owlett Jaton steel washer m6 Bright Zinc Plated (Pack of 30)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/38/NW-IS5335_IS5338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Owlett_Jaton_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT83613,JET Range zinc plated penny washer 40mm (m10) (100),JET Range,0.37,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated penny washer 40mm (m10) (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-T83611_T83614_wm.jpg,,100,N,Steel,40 mm,,Penny Washer,.10M40WMGOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Washers,,,,,,,,,,,,,,,,,,
80,PT87160,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m16) (25 per bag),JET Range,7.03,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 100mm,,,HTBMET01600100Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,100,M16,Hexagon,,,,,,,,,,,,
81,PT87162,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 120mm (m16) (25 per bag),JET Range,8.24,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 120mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 120mm,,,HTBMET01600120Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,120,M16,Hexagon,,,,,,,,,,,,
82,PT87015,JET Range XOX nut and bolt (grade 8.8) 65mm (m16) Black (25 per bag),JET Range,6.49,Jet XOX nut and bolt is made of steel material with plain finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX nut and bolt (grade 8.8) 65mm (m16) Black (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/15/NW-T87014_T87015_wm.jpg,,25 per bag,N,Steel,M16 x 65mm,,,HTBMET01600065S,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Plain finish,Black Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,65,M16,Hexagon,,,,,,,,,,,,
83,PT87151,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 45mm (m16) (50 per bag),JET Range,4.75,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 45mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,N,Steel,M16 x 45mm,,,HTBMET01600045Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,45,M16,Hexagon,,,,,,,,,,,,
84,PT87156,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m16) (25 per bag),JET Range,5.87,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 70mm,,,HTXOXM01600070Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,70,M16,Hexagon,,,,,,,,,,,,
85,PT87132,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m12) (100 per bag),JET Range,1.97,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,N,Steel,M12 x 40mm,,,HTBMET01200040Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,40,M12,Hexagon,,,,,,,,,,,,
86,PT83614,JET Range zinc plated penny washer 30mm (m12) (250),JET Range,0.33,Jet penny washer is made of BZP steel.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated penny washer 30mm (m12) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-T83611_T83614_wm.jpg,,250,N,Steel,30mm,,Penny Washer,.12M30WMGOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Washers,,,,,,,,,,,,,,,,,,
87,PT83568,JET Range zinc plated cold form hex nut (grade 8) (m12) (100 per bag),JET Range,0.44,This JET Range M12 size cold form hexagon nut is made of steel with a bright zinc finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated cold form hex nut (grade 8) (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,100 per bag,N,Steel,M12,,,.12MNXFOZ,N,Reliable,Easy to replace,Grade 8 steel material,,Bright zinc-coated,BZP Steel,Hexagon,Hex Nut,,,,,,,,,,,,,,,,,,
88,PT83587,JET Range zinc plated b-washer (m10) (500),JET Range,0.14,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated b-washer (m10) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,500,N,Steel,M10,,Flat Washer,.10MWFBOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Form B,,,,,,,,,,,,,,,,,,
89,PM91712,"M Greenaway And Son bright zinc plated u-bolt 4"" (m12)",M Greenaway And Son,4.7,"These M Greenaway And Son M12, 100mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 4"" (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1816_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
90,PT87125,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm x M10 (100 per bag),JET Range,1.87,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm x M10 (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/25/NW-T87125_wm.jpg,,100 per bag,N,Steel,M10 x 50mm,,,HTBMET01000050Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,50,M10,Hexagon,,,,,,,,,,,,
91,PT87157,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 75mm (m16) (25 per bag),JET Range,6.21,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 75mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 75mm,,,HTBMET01600075Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,75,M16,Hexagon,,,,,,,,,,,,
92,PT87154,JET Range XOX nut and bolt grade 8.8 M16 x 60mm BZP (50 per bag),JET Range,5.3,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX nut and bolt grade 8.8 M16 x 60mm BZP (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,N,Steel,M16 x 60mm,,,HTBMET01600060Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,60,M16,Hexagon,,,,,,,,,,,,
93,PT83585,JET Range zinc plated b-washer (m6) (1000),JET Range,0.05,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated b-washer (m6) (1000)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,1000,N,Steel,M6,,Flat Washer,.6MWFBOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Washers,,,,,,,,,,,,,,,,,,
94,PT87136,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 60mm (m12) (100 per bag),JET Range,2.66,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 60mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,N,Steel,M12 x 60mm,,,HTBMET01200060Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,60,M12,Hexagon,,,,,,,,,,,,
95,PM91713,"M Greenaway And Son bright zinc plated u-bolt 6"" (m12)",M Greenaway And Son,6.73,"These M Greenaway And Son M12, 150mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 6"" (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ2016_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
96,PM91711,"M Greenaway And Son bright zinc plated u-bolt 3"" (m12)",M Greenaway And Son,3.87,"These M Greenaway And Son M12, 100mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 3"" (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1716_Technical.pdf,,,,,,,,,,,
