,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Connection Type,Diameter,Pack Quantity,Range,Weight,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Length (M),Grade,Outer Diameter,Type,Feature 9,Feature 10,Feature 11,Material Type,Warranty
44,PM90877,Geberit 691.219.P5.2 case 203 18V 230V 50-60Hz BS-1363A,Geberit,1903.21,"Slimline and lightweight, weighing just 28kg, the Geberit ACO 203 Plus with rotating head makes pressing diameters of 12 - 35mm Geberit Mapress or 16 - 50mm Geberit FlowFit or Mepla fittings simple, reducing fatigue with its ergonomic, non-slip handle. An electrohydraulic, brushless design, this pressing tool is supplied with two long life, quick-charging lithium ion batteries, meaning one can be charged while the other is in use, minimising downtime. The ACO 203 Plus is Bluetooth-ready and offers complete compatibility with the NovoCheck app for smart operation that keeps you organised both on-site and in the office.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit 691.219.P5.2 case 203 18V 230V 50-60Hz BS-1363A",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M90877_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/M90877_User_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M90877_Tech_Sheet.pdf,,,,,,,,,,,,,,
45,P529762,Pegler VSH XPress system tube 35mm x 6mtr Stainless Steel (Per Metre),Pegler,59.48,"This Pegler Yorkshire VSH Xpress 35mm heating tube is made of 1.5mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress system tube 35mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/64/NW-529760_529764_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_316SS_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_LPCB-VSH_Fittings_BV_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,
46,P529765,Pegler VSH XPress SS630 system tube 22mm x 6mtr Stainless Steel (Per Metre),Pegler,24.06,"Supplied in a pack of six, these 6M long Pegler Yorkshire VSH Xpress 444 22mm heat shrink system tubes are manufactured in robust 1.2mm thick 630 grade stainless steel with a metallic finish. These high strength tubes are compatible with XPress and Tectite systems.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress SS630 system tube 22mm x 6mtr Stainless Steel (Per Metre)",,6x heat shrink tubes,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/69/NW-529765_529769_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_SS630_444_Sprinkler_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,,,
47,P503637,Pegler VSH XPress tube 76mm Stainless Steel (6 metre),Pegler,186.91,"This Pegler Yorkshire VSH Xpress 76.1mm heating tube is made of 2mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress tube 76mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/39/NW-503637_503639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,,,,,,,,,,,,
48,P503638,Pegler VSH XPress tube 88mm Stainless Steel (6 metre),Pegler,213.83,"This Pegler Yorkshire VSH Xpress 88.9mm heating tube is made of 2mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress tube 88mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/39/NW-503637_503639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,,,,,,,,,,,,
49,PL13326,Omegaflex TracPipe coil 50mm (45 metre),Omegaflex,57.05,"An alternative to rigid pipes, Omegaflex TracPipe 50mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 45M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 50mm (45 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/26/NW-L13326_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),50 mm,0.3,,,FGP-SS4-50-150,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,50,45 metre,TracPipe,,,,,,,,45,304L,2,Pipe Coil,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",Stainless Steel,"18 months from sale, 12 months from Installation(whichever 1st)"
50,PL13435,Omegaflex TracPipe gas pipe DN28 x 15mtr with 2 fastenings and tape,Omegaflex,304.47,"An alternative to rigid pipes, Omegaflex TracPipe 28mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 15M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe gas pipe DN28 x 15mtr with 2 fastenings and tape",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/35/NW-L13435_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P529760,Pegler VSH XPress SS600 system tube 22mm x 6mtr Stainless Steel (Per Metre),Pegler,35.18,"This Pegler Yorkshire VSH Xpress 22mm heating tube is made of 1.2mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress SS600 system tube 22mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/64/NW-529760_529764_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_316SS_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_LPCB-VSH_Fittings_BV_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,
52,PL13308,Omegaflex TracPipe coil 15mm x 30mtr,Omegaflex,11.01,"An alternative to rigid pipes, Omegaflex TracPipe 15mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 30M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 15mm x 30mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/08/NW-L13308_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),15 mm,0.25,,,FGP-SS4-15-100,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,15,,TracPipe,,,,,,,,30,304L,1/2,Semi Rigid,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
53,PL13434,Omegaflex TracPipe gas pipe DN28 x 10mtr with 2 fastenings and tape,Omegaflex,222.95,"An alternative to rigid pipes, Omegaflex TracPipe 28mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 10M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe gas pipe DN28 x 10mtr with 2 fastenings and tape",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/34/NW-L13430_L13434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PL13432,Omegaflex TracPipe gas pipe DN22 x 15mtr with 2 fastenings and tape,Omegaflex,217.95,"An alternative to rigid pipes, Omegaflex TracPipe 22mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 15M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe gas pipe DN22 x 15mtr with 2 fastenings and tape",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/34/NW-L13430_L13434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P529776,Pegler VSH XPress system tube 15mm x 6mtr Stainless Steel (Per Metre),Pegler,19.74,"This Pegler Yorkshire VSH Xpress 15mm heating tube is made of 1mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress system tube 15mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/77/NW-529776_529777_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_316SS_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_LPCB-VSH_Fittings_BV_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,
56,PL13312,Omegaflex TracPipe coil 22mm x 30mtr,Omegaflex,14.04,"An alternative to rigid pipes, Omegaflex TracPipe 22mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 30M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 22mm x 30mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/12/NW-L13312_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),22 mm,0.25,,,FGP-SS4-22-100,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,22,,TracPipe,,,,,,,,30,304L,3/4,Semi Rigid,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
57,PL13438,Omegaflex TracPipe gas pipe DN32 x 15mtr with 2 fastenings and tape,Omegaflex,465.85,"An alternative to rigid pipes, Omegaflex TracPipe 32mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 15M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe gas pipe DN32 x 15mtr with 2 fastenings and tape",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/38/NW-L13437_L13438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PL13439,Omegaflex TracPipe coil 28mm x 30mtr,Omegaflex,19.39,"An alternative to rigid pipes, Omegaflex TracPipe 28mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 30M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 28mm x 30mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/39/NW-L13439_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),28 mm,0.3,,,FGP-SS4-28-100,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,28,Per Metre,TracPipe,,,,,,,,30,304L,1,Pipe Coil,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
59,PM90879,Geberit 691.229.P5.2 case 203 x L 18V 230V 50-60Hz BS-1363A,Geberit,2577.32,"For pressing diameters of 12-108mm of either Geberit Mapress, FlowFit or Mepla fittings, this is the tool for you. This new generation hydraulic pressing tool ACO 203XLplus is lightweight at 3.8kg, ensuring speedy progress and reducing fatigue on the building site. A slim, non-slip handle ensures reliable, ergonomic handling. This pressing tool is electrohydraulic, the battery-operated pressing tool is fitted with modern lithium-ion batteries. Thanks to the long battery running time it requires charging less often and, due to short charging times, it can be put back into operation quickly. Two rechargeable batteries are included in the tool‘s case enabling you to work with one rechargeable battery while the second is being charged. This tool comes with a bluetooth interface for the NovoCheck app. At larger dimensions (Mapress 42mm plus in diameter), collars are used for pressing rather than jaws. Regardless of how the pipes are aligned, these are held firmly onto the press fitting by a snap mechanism, thereby","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit 691.229.P5.2 case 203 x L 18V 230V 50-60Hz BS-1363A",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M90879_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M90879_Tech_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
