,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Boiler Bundles,Feature 9,Feature 10,Feature 11,Feature 12
17,P333979,Worcester Bosch Greenstar 8000 Style GR8700iW 30 C LPG combi boiler pack 30kW White,Worcester Bosch,1483.0,"Based on the popular CDi Classic, the Worcester Bosch Greenstar 8000 Style GR8700iW 30 C LPG combi boiler builds on customer and engineer feedback for quieter operation and simplified installation, commissioning and servicing. Compatible with the cutting edge Bosch Intelligent Filling System and offering intuitive touchscreen controls, this 30kW combi boiler is easy to use and provides detailed, at a glance error feedback for faster diagnosis and correction. ErP A-rated, the 8000 Style also works more efficiently, helping to reduce both waste and bills.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 30 C LPG combi boiler pack 30kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Style_White_wm.jpg,,,,,,,,11 L/min @ 40°C,LPG,Greenstar 8000 Style,8 years,47 kg,A,N,A,,365,94,Wall Hung,333979 PK,Condensing Combi Boiler Pack,N,Improved installation and servicing,Easy replacement for CDi Classic with same fixing points and connections,Simple commissioning procedure with all the information to complete the Benchmark Checklist provided quickly,Design-led product aesthetics for contemporary homes,Quiet combustion chamber design,"Rapid diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Innovative and intuitive full colour text touchscreen boiler control display,Compatible with cutting edge Greenstar Intelligent Filling System,333979,DHW flow rate 11LPM at 40°C,8 year guarantee,,
18,P113029,Worcester Bosch Greenstar GR2301IW combi boiler LPG 30kW,Worcester Bosch,1178.94,"Ideal for small-to-medium properties with just one bathroom, the Worcester Bosch Greenstar GR2301IW LPG combi boiler offers reliable performance and ErP A-rated efficiency in one compact, easy to install package. Capable of modulating down to 3kW, the LPG-compatible 30kW Greenstar 2000 helps homeowners to reduce their gas consumption while operating at noise levels as low as 47dB(A), earning it Quiet Mark accreditation. For additional flexibility, this boiler is fully compatible with Worcester's range of RF wireless controls as well as third party 230V controls.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar GR2301IW combi boiler LPG 30kW,,"Hardware pack, hanging braket, isolation valves",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/29/113029_wm.jpg,,,,,,,,12,LPG,Greenstar,7,36 kg,A,N,A,24 kW,300,89.4,Wall,7736902327,Combi Boiler,N,LPG compatible,Wall-mounted installation,Inline hydraulic and gas connections for ease of installation,With pre-wired mains cable,PRV positioned for a variety of pipe routing options,Offers 94% ErP efficiency,With 1:10 modulation range,Minimises gas consumption when demand is low,,Rear piping accessories available for flexible installation,Wide range of control options,Compatible with Worcester wireless RF controls and all 230V controls,7 year warranty when installed with system filter
19,P333017,Baxi 600 636 LPG LPG combi boiler 36kW,Baxi,1166.0,"Small but powerful, the Baxi 600 Combi 636 boiler pack is compact enough for installation inside a 290mm deep cupboard and has pipes built into the boiler casing for a neat finish. Compatible with the Baxi uSense smart thermostat for optional control via smartphone or tablet, this ErP A-rated 36kW combi boiler provides highly efficient heating and hot water via user-friendly controls.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Baxi 600 636 LPG LPG combi boiler 36kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/17/NW-333017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/p_/uk/Baxi_624_630_636_Combi_LPG_ErP_UK.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_624_630_636_Combi_LPG_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_Gas_Boilers_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Baxi_Range_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Baxi_600_Boiler_Product_Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P114651,WORCS GSTAR 8000 STYLE 50KW CMBI WHT LPG,Worcester Bosch,2706.0,"Designed with feedback from installers and homeowners in mind, the Worcester Bosch Greenstar 8000 Style GR8700iW 50 C LPG combi boiler boasts fast, hassle-free installation and improved servicing and maintenance as well as highly intuitive controls and quieter operation compared to its predecessor, the 8000 Life. Ideally suited to a modern home, this 50kW combi has a stylish design and incorporates a colour touchscreen display to improve controls and make fault diagnostics and commissioning fast and accurate. Compatible with the Greenstar Intelligent Filling System for better boiler pressure, the 8000 Style has an ErP A rating for reduced fuel bills.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> WORCS GSTAR 8000 STYLE 50KW CMBI WHT LPG,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/55/114651_114655_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_8000_Style_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_8000_Style_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/W_B_Greenstar_8000_LifeStyle_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P112958,Worcester Bosch Greenstar Si Compact 25Si LPG compact ErP combi LPG boiler,Worcester Bosch,1309.07,"The Worcester Bosch Greenstar 25Si Compact LPG combi boiler, designed for use in small and medium single bathroom homes, contains, amongst other great features, the ground-breaking WB7 heat exchanger, giving the user great hot water flow rates of up to 9L per minute on demand. The compact, cupboard sized 25kW output Greenstar Si Compact is easy to install, thanks to a split jig, as well as being effortless to commission, operate and maintain using intelligent display and controls. Install this boiler with a Wi-Fi enabled Bosch EasyControl to boost its current ErP A rating to an all-in, money-saving A+ ErP package efficiency rating.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar Si Compact 25Si LPG compact ErP combi LPG boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/60/112957_112960_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Bosch_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/W_B_Greenstar_Si_Compact_25Si_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_Si_Compact_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_Si_Compact_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P141646,Worcester Bosch Greenstar 4000 GR4700iW 25 C LPG combi lpg 25kw,Worcester Bosch,1210.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 25 C LPG combi boiler offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 25kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 25 C LPG combi lpg 25kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P333971,WORCS GSTAR 8000 STYLE 45K CBI BK LPG PK,Worcester Bosch,2138.0,"Based on the Greenstar CDi Classic, the Worcester Bosch Greenstar 8000 Style GR8700iW 45 CB LPG combi boiler improves on one of the brand's most popular boilers with input from both users and installers. The result? Not only is this combi easy and quick to install, commission and service, it also runs quietly and is effortless to operate. Compatible with the cutting-edge Intelligent Filling System, the Greenstar 8000 Style is designed for convenience and for efficiency, providing an ErP A rating for both heating and hot water.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> WORCS GSTAR 8000 STYLE 45K CBI BK LPG PK,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/la/ck/WB_G_Style_Black_wm.jpg,,,,,,,,15 L/min @ 40°C,LPG,Greenstar 8000 Style,8 years,49kg,A,N,A,,365,94,Wall Hung,333971 PK,Condensing Combi Boiler Pack,N,Improved installation and servicing,Easy replacement for CDi Classic with same fixing points and connections,Simple commissioning procedure with all the information to complete the Benchmark Checklist provided quickly,Design-led product aesthetics for contemporary homes,Quiet combustion chamber design,"Rapid diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Innovative and intuitive full colour text touchscreen boiler control display,Compatible with cutting edge Greenstar Intelligent Filling System,333971,DHW flow rate 15LPM at 40°C,8 year guarantee,,
24,P102335,Worcester Bosch Greenstar FS CDi Regular 30CDi LPG regular ErP LPG boiler,Worcester Bosch,2072.44,"A highly efficient replacement for older floor standing boilers, the Worcester Bosch Greenstar FS 30CDi Regular LPG boiler is designed for use in larger properties where hot water is in demand. Fitting snugly beneath your standard kitchen countertop, the ErP A-rated Greenstar FS can be used alongside a whole range of high efficiency Greenstore cylinders and Greenskies solar panels to keep waste and bills as low as possible and keep your home eco-friendly while rapidly replenishing hot water stores to maintain a reliable supply for the whole family.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar FS CDi Regular 30CDi LPG regular ErP LPG boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/36/102335_120336_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/102335_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/102335_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_FS_CDi_Reg_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_FS_CDi_Reg_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P114654,WORCS GSTAR 8000 STYLE 35KW CMBI WHT LPG,Worcester Bosch,1758.0,"Redefining the design of the combi boiler, the Worcester Bosch Greenstar 8000 Style GR8700iW 35 C LPG combi boiler is sleekly contemporary, conceived with modern home decor in mind. Incorporating feedback from installers and customers, the makers of this boiler have ensured quicker, hassle-free installation, servicing and commissioning, intuitive controls and quieter operation compared to its predecessor, the 8000 Life. This 35kW combi incorporates a full colour touchscreen display putting comfort and flexibility of use at your fingertips and improving fault diagnostics too. Compatible with the Greenstar Intelligent Filling System for optimum boiler pressure, the 8000 Style has an ErP A rating for lower fuel bills and a reduced carbon footprint.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> WORCS GSTAR 8000 STYLE 35KW CMBI WHT LPG,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/55/114651_114655_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_8000_Style_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_8000_Style_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/W_B_Greenstar_8000_LifeStyle_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P333973,Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB LPG combi boiler pack 35kW Black,Worcester Bosch,1628.0,"Based on the popular CDi Classic, the black Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB LPG combi boiler builds on customer and engineer feedback for quieter operation and simplified installation, commissioning and servicing. Compatible with the cutting edge Bosch Intelligent Filling System and offering intuitive touchscreen controls, this 35kW combi boiler is easy to use and provides detailed, at a glance error feedback for faster diagnosis and correction. ErP A-rated, the 8000 Style also works more efficiently, helping to reduce both waste and bills.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB LPG combi boiler pack 35kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/la/ck/WB_G_Style_Black_wm.jpg,,,,,,,,13 L/min @ 40°C,LPG,Greenstar 8000 Style,8 years,47 kg,A,N,A,,365,94,Wall Hung,333973 PK,Condensing Combi Boiler Pack,N,Improved installation and servicing,Easy replacement for CDi Classic with same fixing points and connections,Simple commissioning procedure with all the information to complete the Benchmark Checklist provided quickly,Design-led product aesthetics for contemporary homes,Quiet combustion chamber design,"Rapid diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Innovative and intuitive full colour text touchscreen boiler control display,Compatible with cutting edge Greenstar Intelligent Filling System,333973,DHW flow rate 13LPM at 40°C,8 year guarantee,,
27,P333974,Worcester Bosch Greenstar 8000 Style GR8700iW 30 CB LPG combi boiler pack 30kW Black,Worcester Bosch,1483.0,"Based on the popular CDi Classic, the black Worcester Bosch Greenstar 8000 Style GR8700iW 30 CB LPG combi boiler builds on customer and engineer feedback for quieter operation and simplified installation, commissioning and servicing. Compatible with the cutting edge Bosch Intelligent Filling System and offering intuitive touchscreen controls, this 30kW combi boiler is easy to use and provides detailed, at a glance error feedback for faster diagnosis and correction. ErP A-rated, the 8000 Style also works more efficiently, helping to reduce both waste and bills.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 30 CB LPG combi boiler pack 30kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/la/ck/WB_G_Style_Black_wm.jpg,,,,,,,,11 L/min @ 40°C,LPG,Greenstar 8000 Style,8 years,47 kg,A,N,A,,365,94,Wall Hung,333974 PK,Condensing Combi Boiler Pack,N,Improved installation and servicing,Easy replacement for CDi Classic with same fixing points and connections,Simple commissioning procedure with all the information to complete the Benchmark Checklist provided quickly,Design-led product aesthetics for contemporary homes,Quiet combustion chamber design,"Rapid diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Innovative and intuitive full colour text touchscreen boiler control display,Compatible with cutting edge Greenstar Intelligent Filling System,333974,DHW flow rate 11LPM at 40°C,8 year guarantee,,
28,P333994,Worcester Bosch Greenstar 8000 Life LPG combi boiler 35kW White,Worcester Bosch,1554.0,TBC,Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Life LPG combi boiler 35kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/25/114625_wm.jpg,,,,,,,,,,Greenstar 8000 Life,8 years,,,N,,,365,,,333994 PK,Condensing Combi Boiler Pack,N,,,,,,,,,,,,,
29,P333977,Worcester Bosch Greenstar 8000 Style LPG combi boiler 40kW White,Worcester Bosch,1813.0,TBC,Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Style LPG combi boiler 40kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/26/114626_wm.jpg,,,,,,,,,,Greenstar 8000 Style,8 years,,,N,,,365,,,333977 PK,Condensing Combi Boiler Pack,N,,,,,,,,,,,,,
30,P112097,Worcester Bosch Greenstar CDi Highflow 440CDi LPG combi LPG boiler,Worcester Bosch,2530.47,"The Worcester Bosch Greenstar Highflow 440 CDi LPG combi boiler is designed to fit comfortably under a kitchen worksurface but, thanks to built-in frost protection, is equally happy packed away in a garage or cellar, well out of the way. Promising instantaneous hot water for the whole home, this floor standing condensing combi provides a high flow rate of over 90L draw off and with simple-to-understand controls and at-a-glance temperature display it's easy for anyone to use, adapting to individual requirements which, combined with an ErP A rating for heating, can help to ensure that waste is reduced and energy bills are lower.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar CDi Highflow 440CDi LPG combi LPG boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/97/112097_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_CDi_Highflow_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/W_B_Greenstar_Highflow_550CDi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/W_B_Greenstar_Highflow_550CDi_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_CDi_Highflow_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P333970,Worcester Bosch Greenstar 8000 Style GR8700iW 50 CB LPG LPG combi boiler pack 50kW Black,Worcester Bosch,2478.0,"Designed for contemporary homes, the Worcester Bosch Greenstar 8000 Style GR8700iW 50 CB LPG system boiler pack, finished in sleek black, supplies reliable and efficient heating and hot water with minimal effort. Operated via an intuitive full colour touchscreen display, this 50kW boiler provides its user with an easy to understand text display and simplified menu, making commissioning easy and fault finding effortless with no need to refer back to a manual or remember every fault code.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 50 CB LPG LPG combi boiler pack 50kW Black,,Wall mounted gas condensing boiler;Mounting bracket;Mounting plate with keyless filling link pre-installed;PRV discharge pipe (including securing clips);Guarantee card;Set of printed documents for product documentation;Fixing materials (screws with acces,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/70/NW-333970_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_8000_Style_Install_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ct/WB_Greenstar_8000_Style_User_Instrct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_8000_Style_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/WB_GR8700iW_50_CB_NG_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar8000_Style_Consumer_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P333975,Worcester Bosch Greenstar 8000 Style GR8700iW 50 C LPG LPG combi boiler pack 50kW White,Worcester Bosch,2478.0,"Designed for contemporary homes, the Worcester Bosch Greenstar 8000 Style GR8700iW 50 CB LPG system boiler pack, finished in simple white, supplies reliable and efficient heating and hot water with minimal effort. Operated via an intuitive full colour touchscreen display, this 50kW boiler provides its user with an easy to understand text display and simplified menu, making commissioning easy and fault finding effortless with no need to refer back to a manual or remember every fault code.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 50 C LPG LPG combi boiler pack 50kW White,,Wall mounted gas condensing boiler;Mounting bracket;Mounting plate with keyless filling link pre-installed;PRV discharge pipe (including securing clips);Guarantee card;Set of printed documents for product documentation;Fixing materials (screws with acces,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/75/NW-333975_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ct/WB_Greenstar_8000_Style_User_Instrct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_8000_Style_Install_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_8000_Style_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/WB_GR8700iW_50_CB_NG_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar8000_Style_Consumer_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P333991,Worcester Bosch Greenstar 8000 Life GR8300iW 50 C LPG combi boiler pack 50kW White,Worcester Bosch,2368.0,"A worthy successor to the perennially popular CDi Classic, with all the same connections for ease of replacement, the Worcester Bosch Greenstar 8000 Life GR8300iW 50 C LPG combi boiler pack is just as reliable while also offering simplified installation, service and maintenance. Lightweight and easy to use, this ErP A-rated 50kW combi is fitted with an intuitive LCD display and offers the option for wireless smart operation using the Bosch EasyControl. Compatible with the state of the art Greenstar Intelligent Filling System, the efficient 8000 Life makes heating a home effortless.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 50 C LPG combi boiler pack 50kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,,,,,,,,18 L/min @ 40°C,LPG,Greenstar 8000 Life,8 years,49kg,A,N,A,,365,94,Wall Hung,333991 PK,Condensing Combi Boiler Pack,N,Design-led,"Easier installation, servicing and maintenance",Reduced lift weight compared to the CDi Classic,Simple switch from CDi Classic with same fixing points and connections,Full colour LCD text boiler control with push buttons,Recognisable diagnostic codes for easier fault-finding,Compatible with Greenstar Intelligent Filling System,Full wireless connectivity with the Bosch EasyControl,333991,DHW flow rate 18LPM at 40°C,8 year warranty,,
