,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Size,Connection Type,Diameter,Weight,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Angle,Range,Colour,Gender,Wall Thickness (mm),Connection Type 2,Length (M),Pack Quantity,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
133,PP55227,"Astore UPVC barrel nipple (BSP) 3/4""",Astore,2.23,"Suitable for pressurised irrigation, this Durapipe PVC 3/4"" BSP barrel nipple can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Astore UPVC barrel nipple (BSP) 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pv/c)/Barrel nipple plain-threaded (Pvc)_wm.jpg,,,,,0.21608,N,WRAS,Equal,3/4,3/4,Unplasticized Polyvinyl Chloride (PVC-U),3/4,Solvent Weld,RBN60250,Barrel Nipple,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
134,PP96029,"TP RV0.GOL 90deg upvc elbow 4""",TP,54.68,"This TP 4 x 4"" 90° elbow is made of PVC-U specifically for water piping systems. This part is suitable for use in a range of applications including distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, aquariums and aquaculture, irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.GOL 90deg upvc elbow 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/29/NW-P96021_P96029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PP41273,"Georg Fischer UPVC stub flange 3""",Georg Fischer,36.38,"This Georg Fischer 3 x 3"" flange adapter is made of PVC-U with a combined flat and serrated jointing face. It is suitable for use in microelectronics, the chemical process industry, shipbuilding and in the water treatment applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer UPVC stub flange 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/73/NW-P41273_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Georg_Fischer_Piping_Systems_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_Flange_Adaptor_PVC_U_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/GF_General_Cementing_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Georg_Fischer_4066_5_PVC_U_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/GF_PVC_U_PVC_C_For_Dytex_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/GF_PVC-U_Tangit_Instruction.pdf
136,PP96265,"TP RV0.BPF UPVC barrel nipple BS/BSP 1.1/2""",TP,7.98,"This TP 1 1/2 x 1 1/2"" barrel nipple is made of PVC-U and includes plain end connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.BPF UPVC barrel nipple BS/BSP 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/66/NW-P96261_P96266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PP96133,"Georg Fischer upvc reducing bush 1.1/4 x 1""",Georg Fischer,2.95,"This Georg Fischer 1 1/4 x 1"" reducing bush is made of a PVC-U ideal for water piping systems. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer upvc reducing bush 1.1/4 x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/41/NW-P96129_P96141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PP55350,"Durapipe AVF UPVC adaptor FI PL/MI BSP 1.1/2""",Durapipe,4.77,"Suitable for pressurised irrigation, this Durapipe PVC 1 1/2"" Fl PL/Ml BSP adapter can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe AVF UPVC adaptor FI PL/MI BSP 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pv/c)/Adaptor female plain-male threaded (pvc)_wm.jpg,,,,,0.13491,N,WRAS,Equal,1-1/2,1 1/2,Unplasticized Polyvinyl Chloride (PVC-U),1 1/2,Solvent Weld,RAM60500,Pipe Adaptor,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,AVF UPVC,,,,,,,,,,,
139,PP96137,"Georg Fischer UPVC reducing bush 2 x 1.1/2""",Georg Fischer,4.95,"This Georg Fischer 2 x 1 1/2"" reducing bush is made of a PVC-U ideal for water piping systems. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer UPVC reducing bush 2 x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/41/NW-P96129_P96141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PP96224,"TP RV0.AFR adaptor FI/BSP BS/BSP 1.1/4 x 1.1/4""",TP,7.16,"This TP 1 1/4 x 1 1/4"" threaded adapter is made of PVC-U and includes plain/threaded connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.AFR adaptor FI/BSP BS/BSP 1.1/4 x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/26/NW-P96221_P96226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PP96096,"TP RV0.BOL upvc union with O ring 2""",TP,28.54,"This TP 2 x 2"" union with O-ring is made of PVC-U and includes solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.BOL upvc union with O ring 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/99/NW-P96091_P96099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PP96222,"TP RV0.AFR adaptor FI/BSP BS/BSP 3/4 x 3/4""",TP,3.82,"This TP 3/4 x 3/4"" threaded adapter is made of PVC-U and includes plain/threaded connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.AFR adaptor FI/BSP BS/BSP 3/4 x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/26/NW-P96221_P96226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PP96132,"Georg Fischer upvc reducing bush 1 x 3/4""",Georg Fischer,2.22,"This Georg Fischer 1 x 3/4"" reducing bush is made of a PVC-U ideal for water piping systems. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Georg Fischer upvc reducing bush 1 x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/41/NW-P96129_P96141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
