,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Connection Size,Connection Type,Type,Grade,Attachment 2,Attachment 3,Diameter,Operating Temperature,Range,Weight,Size,Colour,Material,Number of Ports,Operator Type,Seal Material,Thread Size,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 4,Attachment 5,Attachment 6,Pack Quantity
10,P598013,Surestop Surestop Stopcock  SS/22/RPL pushfit remote stopcock 22mm,Surestop,76.91,"Suitable for use with copper or plastic pipes, the push-fit Surestop 22mm stopcock is ideal for the isolation of a water supply for maintenance or in an emergency. Supplied with a remote switch for fitting onto a wall or in a cupboard for convenient ease of access, this stopcock is the ideal choice for properties where pipework is difficult to get to or where the water supply needs to be isolated regularly.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Surestop Surestop Stopcock  SS/22/RPL pushfit remote stopcock 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/13/NW-598012_598013_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ep/17/Surestop_Brochure_Sep17.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/598012_598013.Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Surestop_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
11,P292003,Center CB copper x copper compression stop cock 22mm Brass (1),Center CB,8.49,This Center CB brass stop cock is designed to isolate the water supply to a property for maintenance or in case of emergency. It is fitted with a 22mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Center CB copper x copper compression stop cock 22mm Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/03/NW-292002_292003_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/292002_292003_Technical.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/03/WRAS Certificate - 292002 & 292003.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/292002_292003_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
12,PN11360,"JET Range N 11360 auto air vent with check valve 3/8 x 3/8""",JET Range,11.68,"Designed with a vacuum break to prevent air locks, this JET Range automatic air vent is made of robust solid brass and incorporates 3/8"" threaded connections. A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range N 11360 auto air vent with check valve 3/8 x 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/N11360_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/N11359 Installation & User Guide.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/N11359 Auto Air Vent TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
13,P172126,Midland Brass plain shank drain cock (Type-A) WRAS 15mm Chrome,Midland Brass,4.41,"This Midland Brass brass drain cock provides a handy draw-off point in a pipe, system or tank. It is installed with a 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass plain shank drain cock (Type-A) WRAS 15mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/26/NW-172126_wm.jpg,N,MBFDOCTACP-15,N,Brass construction,Metallic finish,12 month warranty,,,,,15mm,Threaded,Drain Cock,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PK74393,JET Range JET 11 28mm CxC BS 1010 Stopcock,JET Range,74.02,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 28mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range JET 11 28mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/93/K74393_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74391_K74393_Technical Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
15,P292002,Center CB copper x copper compression stop cock 15mm Brass (1),Center CB,4.14,This Center CB brass stop cock is designed to isolate the water supply to a property for maintenance or in case of emergency. It is fitted with a 15mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Center CB copper x copper compression stop cock 15mm Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/03/NW-292002_292003_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/292002_292003_Technical.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/03/WRAS Certificate - 292002 & 292003.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/292002_292003_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
16,P172029,"Pegler Prestex draincock 1/2"" Brass",Pegler,34.49,"This Pegler Yorkshire Prestex gunmetal drain cock acts as a draw-off point in a pipe, tank or system. Suitable for copper or stainless steel, this cock is installed via a 1/2"" male taper threaded x barbed connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Pegler Prestex draincock 1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/29/NW-172029_wm.jpg,N,542017,N,Brass construction,Metallic finish,Manufactured to BS EN 1254/BS 864 Part 2,For use with copper tube to BS EN 1057:1996,Suitable for stainless steel tube to BS 4127-2:1994,5 year warranty,,1/2 inch,Male Taper Threaded x Barbed,Drain Cock,,,,1/2,120,Prestex,,,,,,,,,,,,,,,,,,,,,
17,P172120,Midland Brass brass plain shank drain cock (Type-B) 15mm,Midland Brass,1.5,"This Midland Brass 15mm brass drain cock provides a handy draw-off point in a pipe, system or tank.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass brass plain shank drain cock (Type-B) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/20/NW-172120_wm.jpg,N,BFDOCTB-15,N,Brass construction,Metallic finish,12 month warranty,,,,,15mm,,Drain Cock,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P250246,"Midland Brass brass screwed drain cock (Type-A) 1/2""",Midland Brass,3.42,"Fitted with a 1/2"" connection, this Midland Brass light pattern type-A screwed drain cock is manufactured in reliably robust brass.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass brass screwed drain cock (Type-A) 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/46/250246_wm.jpg,N,BFDOCTA-D,N,Type ABrass construction,With EDPM internal washer,Suitable for hot and cold water systems,,,,,,Threaded,,,,,,,,80.00000,2,,,,,,,,,,,,,,,,,,,
19,P172100,"Midland Brass brass screwed drain cock (Type-B) 1/2""",Midland Brass,2.08,"This Midland Brass brass drain cock provides a handy draw-off point in a pipe, system or tank. It is installed with a 1/2"" threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass brass screwed drain cock (Type-B) 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/00/NW-172100_wm.jpg,N,BFDOCTB-D,N,Brass construction,Metallic finish,12 month warranty,,,,,1/2 inch,Threaded,Drain Cock,,,,,,,,,,,,,,,,,,,,,,,,,,,
