,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Range,Feature 1,Feature 2,Warranty,By Model Number,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Operating Temperature,Voltage (V),Phase,Frequency,Attachment 2,Attachment 3,Pack Quantity,Application,Output (W)
10,P456910,Anglo Nordic oil line braided 900mm,Anglo Nordic,6.75,"Designed for connecting pipework to an oil burner, this Anglo Nordic Mectron braided red and green flexible oil line with 1/4"" male (90° elbow) x 1/4"" female connections is suitable for biofuel blends to B20. This oil line includes 90° elbow inlet/outlet fittings mechanically crimped to the hose.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic oil line braided 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/10/NW-456910_wm.jpg,,N,x  x,2404005,Oil Line,N,,Kerosene compatible,UNI 9362 nitrile rubber core,,,Braided in galvanised steel mesh to ANCC standards,-25 to 90°C temperature range,Suitable for biofuel blends to B20,Galvanised fittings are mechanically crimped,1 year warranty,,,,,,,,,
11,P796922,Anglo Nordic oil line 1/4m ang x 1/4f str x 600,Anglo Nordic,10.19,"An Anglo Nordic 1/4"" male angled x 1/4"" female straight x 600 oil line.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic oil line 1/4m ang x 1/4f str x 600,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/22/796922_wm.jpg,,N,x  x,2407049-G,Green Long Life Safety Oil Line,N,,,,,,,,,,,,,,,,,,,
12,P468968,Suntec AS47C 7451 fuel pump,Suntec,62.24,"This Suntec AS oil pump has a built-in normally opened solenoid valve for quick control of the cut-off and cut-on function independent of rotational speed. The pump's gear set draws oil from the tank through the built-in filter and transfers it to the valve that regulates the oil pressure to the nozzle line, dumping unused oil back to the return line in a two pipe installation or back to the suction port in a one pipe installation. When the solenoid valve is non-activated, the bypass channel between pressure and return sides is open, with no pressure built to open the valve. When the solenoid is activated, this bypass channel is closed and with gear set at full speed, the pressure necessary to open the valve will be built up for sharp cut-on.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Suntec AS47C 7451 fuel pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/68/NW-468968_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Suntec_Oil_Pump_AS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
13,P796915,"Anglo Nordic Mectron oil line mectron 1/4""f elbow x 1/4""f straight x 900mm",Anglo Nordic,10.84,"This 900mm long Anglo Nordic Mectron oil hose with ozone protection is approved for use with biofuel blends up to B21. Tough and flexible, this hose has a 1/4"" female 90° elbow x female straight connection.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic Mectron oil line mectron 1/4""f elbow x 1/4""f straight x 900mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/15/796915_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
14,P796921,Anglo Nordic oil line 1/4F straight x600mm long,Anglo Nordic,9.31,"This 600mm long Anglo Nordic Mectron oil hose with ozone protection is approved for use with biofuel blends up to B21. Tough and flexible, this hose has a 1/4"" female 90° elbow x 1/4"" female straight connection.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic oil line 1/4F straight x600mm long,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/21/NW-796921_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
15,P446362,Landis photocell,Landis,20.99,"This Siemens Landis photocell with IP40 protection is designed for the supervision of yellow-burning oil flames in connection with burner controls. It is suitable for MOL 1650-3R, MOL 2540-3R, NO 1, NO 2, NO 5, NO 6, NO 13, NO 16, NO 3, NO 8 and NO 9 models.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Landis photocell,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/62/NW-446362_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_Photocell_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
16,P448265,Nu-Way Dungs processor unit (MPA),Nu-Way,527.91,"Suitable for domestic or commercial use, this Nu-Way Dungs MPA22 230V control box is a microprocessor-controlled, automatic burner control system with intermittent duty for controlling and monitoring two and three stage modulating blower burners with a single servomotor. It can also control electronic modulating blower burners with two servomotors in combination with an electronic control unit and pneumatic modulating blower burners with a single servomotor. MPA22 has an integrated valve proving system for use as an automatic gas burner control system.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way Dungs processor unit (MPA),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/65/NW-448265_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Nu_Way_Dungs_MPA22Operating_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,
17,P448623,Nu-Way electrode each,Nu-Way,108.07,"This Nuway replacement electrode is suitable for NG3, NG5 and A4-1422. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way electrode each,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/23/NW-448623_wm.jpg,,N,x  x,P25132L,Electrode,N,,"Leading supplier and manufacturer of spare parts and oil, gas and dual fuel burners",,,,,,,,,,,,,,,,,
18,P448732,Enertech servo damper motor,Enertech,471.37,An Enertech A30119X 24V single phase servo damper motor.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Enertech servo damper motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/32/NW-448732_wm.jpg,,N,,A30119X,Servo Damper Motor,N,,2 year warranty,,2 years,A30119X,,,,,,45 to 60,24,1,50,,,,,
19,P448632,Nu-Way electrode (C),Nu-Way,99.18,"This Nuway replacement electrode is suitable for NG5, NG25 and A4-1463. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way electrode (C),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/32/NW-448632_wm.jpg,,N,x  x,P25144Y,Electrode,N,,"All over the world Nuway are known for reliability, efficiency and performance.",,,,,,,,,,,,,,,,,
