,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Bend (in degrees),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3
24,PG75762,Domus Supertube flat channel 2mtr,Domus,18.31,"Manufactured to exacting tolerances, the Domus Supertube 60 x 204mm rectangular rigid duct helps to maximise the energy efficiency of ventilation appliances. Almost completely eliminating air leakage and reducing pressure drops, it is suitable for use in the bathroom, toilet or utility room.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Supertube flat channel 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/62/NW-G75761_G75762_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,
25,PG75732,Domus EasiPipe 100 4904W lourve grille 100mm White,Domus,5.31,"Finished in white, the Domus EasiPipe 100 rigid duct outlet louvered grille measures 155 x 155mm and connects to rigid duct via a male connection.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus EasiPipe 100 4904W lourve grille 100mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/32/NW-G75730_G75732_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,,
26,PG75954,Domus Ancillaries aluminium sealing tape,Domus,38.87,This Domus rigid aluminium duct tape is suitable for use with the rigid duct range.,Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Ancillaries aluminium sealing tape,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/54/G75954_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,
27,P800210,"Stadium BM368 aluminium compartment vent 16"" x 13""",Stadium,90.0,"Made of heavy duty aluminium, this Stadium BM368 16 x 13"" compartment vent has an anodised silver finish.","Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Stadium BM368 aluminium compartment vent 16"" x 13""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/10/NW-800210_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,
28,PG76991,Domus Attenuation microban silencer 204 x 60 x 500mm,Domus,60.19,"This Domus Microban® protected sound attenuator has been designed to significantly reduce transmitted appliance noise and prevent cross talk travelling between rooms in duct systems, reducing noise levels by up to 55dB, helping to improve privacy, concentration and comfort. Engineered to include Microban® protected foam, this product ensures fresh, clean longevity.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Attenuation microban silencer 204 x 60 x 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/91/G76991_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Domus_5SL-500_Technical.pdf,
29,PG82277,Domus Megaduct TS961 fixed spigot plenum duct insulation 125mm,Domus,8.28,"Helping to maximise the efficiency of Silavent appliance, this Domus 125mm fixed spigot plenum duct insulation is part of the Domus duct system. Manufactured to precise tolerances using high quality extrusion and injection moulding tools, this smart plastic system virtually eliminates air leaks while minimising the risk of pressure drops.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Megaduct TS961 fixed spigot plenum duct insulation 125mm,,1 plenum,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/77/G82277_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,,
30,PG75848,"Domus EasePipe 125 F5904W louvred grille and fly screen 5"" White",Domus,17.87,"Made of white PVC, this Domus EasiPipe 125 louvred grille with flyscreen is suitable for use on the exterior of any building, blending in seamlessly with many types of commonly used house render. It is designed with a 125mm spigot diameter.","Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus EasePipe 125 F5904W louvred grille and fly screen 5"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/48/NW-G75848_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,
31,P800251,"Stadium BM476 plastic hit  & miss vents 9"" x 6""",Stadium,2.98,These Stadium 241 x 165mm hit and miss ventilators are made of white plastic and are supplied with integral flyscreens.,"Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Stadium BM476 plastic hit  & miss vents 9"" x 6""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/52/NW-800251_800252_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,
32,PG75920,Domus EasiPipe 150 136-26 extract supply valve 150mm,Domus,25.76,"Used to extract or supply ventilations, the Domus EasiPipe150 rigid internal duct terminal air valve is supplied with a spigot and grab ring for easy installation into a suspended ceiling. With an aerodynamic disc valve design to help distribute the air evenly, this valve includes an open area which is adjusted using a steel threaded bar and locked in position with the supplied locking nut.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus EasiPipe 150 136-26 extract supply valve 150mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/20/NW-G75920_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Domus_Ventilation_Ducting_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,
33,PG75664,Domus EasiPipe 150 round to rectangular adaptor,Domus,15.74,Part of the rigid duct range this Domus EasiPipe 100 round-to-rectangular in-line adapter makes changing to an alternative ducting profile simple.,Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus EasiPipe 150 round to rectangular adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/64/G75664_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,
