,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Diameter,Sector,Pack Quantity,Depth (mm),Feature 9
0,PD06007,Mira Elevate hinged bath screen square 800mm,Mira,139.01,"A minimal, sleek design, the Mira Elevate 1450 x 800mm square bath screen incorporates a patented water retention seal, keeping water from seeping underneath the screen and over the bath's edge. Manufactured in toughened safety glass, this screen is made to last.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Mira Elevate hinged bath screen square 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/07/D06007_wm.jpg,Chrome,Elevate,5 mm,10 Year,N,Chrome,Toughened Safety Glass,2.1814.107,Bath Screen,N,Single pivot hinge,With lifting effect,Patented water retention feature,Unhanded design,Door swings in or out for easy access,Chrome frame,Toughened safety glass,10 year warranty,,,,,,,,,
1,PD28955,Ionic single square bath screen,Ionic,142.71,"The angular, modern Ionic single square bath/shower screen provides a sense of space with its sleek, frameless design with minimalist concealed fixings. This easy to clean screen is manufactured in toughened 6mm glass and treated with Mershield Stayclear.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic single square bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/55/UP-D28955_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28955_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28955_Installation.pdf,,,,,
2,PD06008,Mira Elevate hinged bath screen curved 800mm,Mira,142.91,"A minimal, sleek design, the Mira Elevate 1450 x 800mm curved bath screen incorporates a patented water retention seal, keeping water from seeping underneath the screen and over the bath's edge. Manufactured in toughened safety glass, this screen is made to last.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Mira Elevate hinged bath screen curved 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/08/D06008_wm.jpg,Chrome,Elevate,5 mm,10 Year,N,Chrome,Toughened Safety Glass,2.1814.108,Bath Screen,N,Single pivot hinge,With lifting effect,Patented water retention feature,Unhanded design,Door swings in or out for easy access,Chrome frame,Toughened safety glass,10 year warranty,,,,,,,,,
3,PT41181,Scudo 6mm radius single bath screen,Scudo,82.69,"Manufactured in Aquashield protected 6mm thick glass, this Scudo 800 x 1400mm radius barrel hinge shower screen reduces splashing when using an over bath shower.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Scudo 6mm radius single bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/81/T41181_wm.jpg,Clear,,6mm,"Lifetime (fixed parts only) parts, 2 years moving parts and seals",N,Chrome,Aluminium,LS010N,Radius barrel hinge,N,Universal right or left-handed fitting,With Aquashield protection,6mm thick glass construction,Clear glass,Aluminium frame,Lifetime warranty on fixed parts,2 year warranty on moving parts and seals,,,,,,,,,,
4,PT26394,Essentials Element 750x1300mm curved bath screen with 5mm glass,Essentials,70.09,"An elegant design, the Essentials Element 750 x 1300mm curved bath screen is manufactured in toughened safety glass for reliable safety. Fitted with a chrome frame, this bath screen offers flexible fitting and folds both into the bath area and away from it for convenient, space-saving use.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Essentials Element 750x1300mm curved bath screen with 5mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/94/T26394_wm.jpg,Chrome,,5 mm,5 Years,N,Chrome,AluminiumGlass,EB301,Shower Screen,N,Curved design,5mm toughened safety glass construction,Suitable for left or right-handed fitting,Folds inwards and outwards,Chrome frame,5 year warranty,,,,,,,,,,,
5,PD29031,Merlyn 2 panel square bath screen 1500 x 900mm,Merlyn,250.53,"This smoothly pivoting Merlyn 1500 x 900mm two panel folding square bath/shower screen provides sleek, space-efficient splash protection in your bathroom, folding neatly out of the way after use. This frameless screen is fitted with HydraSEAL to provide added protection from leaks and features the patented Easy-Fit system for optional fitting directly into existing screw holes for fast, effortless installation.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Merlyn 2 panel square bath screen 1500 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/31/UP-D29031_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Two_Panel_Bathscreen_Install.pdf,,,,,,,
6,PD29077,Ionic single square fixed bath screen,Ionic,111.17,"The minimalist Ionic MB0 fixed square bath/shower screen is manufactured from 6mm toughened safety glass to provide watertight, leak-free practicality in your bathroom.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic single square fixed bath screen,,Fixed square bath screen;Fixed panel;Wall profile;3 piece screws (3.9 x 40 mm);3 piece wall plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/77/UP-D29077_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Fixed_Panel_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D29077_Technical.pdf,,,,,,,
7,PD30444,Croydex Profile 800 shower rail 1830mm Silver,Croydex,32.2,"The lightweight and strong 1830mm Croydex Profile 800 straight shower rail is a professional rail system designed to effortlessly hold a shower curtain. Supplied with hooks and gliders, this curtain rail is pre-formed and incorporates a rigid H section for bends without sagging.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex Profile 800 shower rail 1830mm Silver,,Straight shower rail;Wall plugs x 4-10;No.8 x 1 1/4 inch screws x 4 -10;No.6 x 1 inch self tapping screw x 1 or 2;No.4 x 1/4 inch self tapping screw x 1 or 2;Gliders and hooks x 12 - 24;End stop and fixing nut x 1 or 2;Ceiling hanger support x 1 or 2;Cei,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/44/UP-D30444_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_SlenderlineKit_Installation.pdf,,,,,,,
8,PD30247,Croydex textile shower curtain 2000 x 2000mm White,Croydex,12.11,"Designed for long-lasting use, this Croydex clean, bright white 2M shower curtain is made from 100% polyester with a Proseal coating for unbeatable water repellency. Machine washable and strong, this ready-to-hang shower curtain remains opaque even when wet for added privacy.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex textile shower curtain 2000 x 2000mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/47/UP-D30247_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,
9,PD12201,Saracen textile shower curtain 1800 x 1800mm White,Saracen,23.14,"Saracen textile shower curtain has two sides, one that keeps water where the user want it and another that adds a touch of character to the bathroom.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Saracen textile shower curtain 1800 x 1800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/01/NW-D12201_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12201_Saracen_Technical.pdf,,,,,,,,
10,PD06009,Mira Elevate static panel bath screen 300mm,Mira,82.0,"Providing a sleek finishing touch for a minimalist bathroom, the Mira Elevate 1450 x 300mm static bath screen has a smart semi-frameless design. Easy to install thanks to its adjustable profile, this screen is manufactured in toughened glass for long lasting use.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Mira Elevate static panel bath screen 300mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/09/D06009_wm.jpg,Chrome,Elevate,5 mm,10 Year,N,Chrome,Toughened Safety Glass,2.1814.109,Bath Screen,N,Made using 5mm toughened safety glass,Adjustable profiles for uneven walls,Semi-frameless design,Chrome frame,10 year warranty,,,,,,,,,,,,
11,PD12215,Saracen universal shower rail kit,Saracen,56.07,Saracen shower rail kit completes with ceiling support.,Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Saracen universal shower rail kit,,Shower railCeiling supportHooksGlidersFixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/15/NW-D12215_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12215_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12215_Saracen_Technical.pdf,,,,,,,
12,PD30027,Croydex bendy shower rail 3000mm White,Croydex,66.6,"This 3M Croydex white bendy shower rail is supplied with ceiling support, hooks, gliders. With two separate aluminium extrusions and a central flexible PVC core, this rail can be bent at any point to follow the curve of a bath or shower.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex bendy shower rail 3000mm White,,Bendy rail;2 piece wall brackets;24 piece gliders;26 piece hooks;Ceiling hanger support;Ceiling support bracket;2 piece end stop;2 piece fixing nut;5 piece wall plug;No.6 x 1 inch self tapping screw;No.4 x 1/4 inch self tapping screw;5 piece No.8 x 1-1/4,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/27/UP-D30027_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_BendyRail_Installation.pdf,,,,,,,
13,PT41783,Scudo side panel 760 x 1850mm - 6mm glass,Scudo,106.95,"The Scudo S6 760 x 1850mm pivot shower side panel is a perfect finishing touch for a modern bathroom. Easy to clean thanks to its Aquashield treatment, this shower panel is made of a thick clear glass with chrome frame and fittings and offers easy installation, even in rooms where walls aren't quite perfect.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Scudo side panel 760 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/85/T41783_T41785_wm.jpg,Clear,,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S6-GLASS026,Sliding Door,N,With 6mm thick toughened safety glass,Aquashield glass treatment for ease of cleaning,Universal design offers left and right handed opening,Easy to install,Large adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,
14,PD25390,Coram shower curtain screen 250mm Polished Silver/Clear,Coram,104.22,"The chrome-framed Coram 250mm shower curtain screen has a fixed short panel and silicone seals for reliable leakproof use. This shower screen is effortless to install, with a unique levelling system and generous adjustment for walls that aren't straight.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Coram shower curtain screen 250mm Polished Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/90/UP-D25390_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Shower_Curtain_Screen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Bathscreen_Technical.pdf,,,,,,
15,PD00012,Coram square bath screen 800mm Chrome/Clear,Coram,137.74,"With concealed fixings and a smooth hinge, the Coram Classic square bath screen is discreet yet spacious, ideal for small spaces. Easy to install, with a unique levelling system leaving no exposed screws, the Coram Classic is an ideal screen for use with high performance showers.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Coram square bath screen 800mm Chrome/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/12/UP-D00012_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Frameless_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Bathscreen_Technical.pdf,,,,,,
16,PD28954,Ionic single curved bath screen,Ionic,120.71,"The frameless Ionic single curved bath/shower screen offers minimalist looks and maximum protection from shower spray. Easy to install with the option to retrofit to existing holes using the Easy-Fit system, this screen is built in tough 6mm bath and features HydraSEAL for added protection against leaks.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic single curved bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/54/UP-D28954_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Easy_Fit_Profile_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28954_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,,,,,
17,PT41784,Scudo side panel 800 x 1850mm - 6mm glass,Scudo,109.16,"The Scudo S6 800 x 1850mm pivot shower side panel is a perfect finishing touch for a modern bathroom. Easy to clean thanks to its Aquashield treatment, this shower panel is made of a thick clear glass with chrome frame and fittings and offers easy installation, even in rooms where walls aren't quite perfect.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Scudo side panel 800 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/85/T41783_T41785_wm.jpg,Clear,,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S6-GLASS027,Sliding Door,N,With 6mm thick toughened safety glass,Aquashield glass treatment for ease of cleaning,Universal design offers left and right handed opening,Easy to install,Large adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,
18,PD28956,Ionic 2 panel folding curved bath screen,Ionic,192.86,"The space efficient Ionic 2 panel folding curved bath/shower screen has a smooth pivot action, folding back for maximum access. Manufactured from strong 6mm safety glass with a chrome-finish aluminium frame, this robust screen features the unique HydraSEAL for added leakproof peace of mind and includes Easy-Fit for a simple, mess-free retrofit using existing screw holes.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic 2 panel folding curved bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/56/UP-D28956_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28956_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28956_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,,,,,
19,PD23770,Roman Haven6 power shower bath screen,Roman,149.22,"Suitable for use with power showers, the Roman Haven6 1500 x 815mm bath screen helps to minimise splashing, keeping that after-shower clean-up to a minimum. Suitable for any bathroom, this screen has a simple glass and aluminium design.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Roman Haven6 power shower bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/70/NW-D23770_wm.jpg,Bright Silver,Haven6,6mm,Lifetime,N,Bright Silver,Glass & Aluminium,H2D10CS,Bath Screen,N,Rotates through 180° for access,6mm thick glass,Frameless design with square glass,Unique sealing system,Reversible for left or right hand fixing,Adjustment of 810 to 825mm,Lifetime warranty,,,,,,,,,,
20,PD30253,Croydex high performance shower curtain White,Croydex,24.5,"Designed for long-lasting use, this Croydex clean, bright white shower curtain is made from 100% polyester with a Proseal coating for unbeatable water repellency. Machine washable and strong, this ready-to-hang shower curtain remains opaque even when wet for added privacy.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex high performance shower curtain White,,Shower curtain;Polybag with C hook,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/53/UP-D30253_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,
21,PD30024,Croydex bendy shower rail 2500mm White,Croydex,56.04,"This 2.5M Croydex white bendy shower rail is supplied with ceiling support, hooks, gliders. With two separate aluminium extrusions and a central flexible PVC core, this rail can be bent at any point to follow the curve of a bath or shower.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex bendy shower rail 2500mm White,,Bendy rail;2 piece wall brackets;24 piece gliders;26 piece hooks;Ceiling hanger support;Ceiling support bracket;2 piece end stop;2 piece fixing nut;5 piece wall plug;No.6 x 1 inch self tapping screw;No.4 x 1/4 inch self tapping screw;5 piece No.8 x 1-1/4,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/24/UP-D30024_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_BendyRail_Installation.pdf,,,,,,,
22,PA21044,Twyford Geo 1 part bathscreen 1500 x 800mm,Twyford,149.91,"Suitable for an over-bath shower, the Twyford Geo 1 1500 x 800mm part bath screen is made from a single panel of toughened glass with a corrosion-resistant aluminium frame. Hinging through 180° for easy access and effortless maintenance, it is suitable for fitting to a left or right-hand wall. The Geo is treated with a ProClean nano coating for ease of cleaning. This coating helps the screen's glass to resist water marks, soap scum and limescale so it stays clear and clean with minimal scrubbing.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Twyford Geo 1 part bathscreen 1500 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/A21044_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/A21044_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A21044_Tech_Sheet.pdf,,,,,,,
23,PD12207,Saracen angled rail 1675 x 760mm Silver,Saracen,45.6,Saracen angled rail is made up of aluminium. Behind every shower curtain is a great way to hang it up. Croydex rod and rail comes in a range of styles and offer several choices to complete bathroom look.,Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Saracen angled rail 1675 x 760mm Silver,,Angled railTwelve hooksGlidersAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/11/NW-D12207_D12211_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12207_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12207_Saracen_Technical.pdf,,,,,,,
24,PD12204,Saracen long drop textile curtain 1800 x 2000mm White,Saracen,27.34,"Saracen long drop textile curtain has two sides, one that keeps water where the user want it and another that adds a touch of character to the bathroom.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Saracen long drop textile curtain 1800 x 2000mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/04/NW-D12204_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12204_Saracen_Technical.pdf,,,,,,,,
25,PD12208,Saracen straight rail 1830mm Silver,Saracen,30.32,Saracen straight rail is made up of aluminium. Behind every shower curtain is a great way to hang it up. Croydex rod and rail comes in a range of styles and offer several choices to complete bathroom look.,Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Saracen straight rail 1830mm Silver,,Straight railTwelve hooksGlidersAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/11/NW-D12207_D12211_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12208_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12208_Saracen_Instructions.pdf,,,,,,,
26,PD12203,Saracen AE100022 vinyl curtain 1800 x 1800mm White,Saracen,13.82,"Measuring 1.8 x 1.8M, this white vinyl Saracen shower curtain is a simple, classy choice for any bathroom. Fully waterproof on one side and featuring tear-resistant eyelets, this shower curtain is machine washable for convenience.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Saracen AE100022 vinyl curtain 1800 x 1800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/03/NW-D12203_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12203_Saracen_Technical.pdf,,,,,,,,
27,PD12218,Saracen GP89500 curtain rod 2000mm Stainless Steel,Saracen,42.76,This trimmable Saracen curtain rod is made of durable stainless steel with a chrome wall bracket for reliably strong shower curtain hanging.,Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Saracen GP89500 curtain rod 2000mm Stainless Steel,,Curtain rodAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/18/NW-D12218_wm.jpg,Steel,,,,N,,Stainless Steel,GP89500PCC,Curtain Rod,N,Stainless steel rod,Chrome-plated zinc wall bracket,2000mm standard size,Can be trimmed to size,25mm diameter,All fixings are included,,,,,,,25 mm,"Healthcare,Assisted Living,Hotels/Leisure,Sport/Fitness",,,
