,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Connection Type,Operating Temperature,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 6
30,PD73809,Ariston Andris Lux Eco 3100717 oversink electric water heater 2.5kw 10ltr pack,Ariston,159.0,"Ideal for use in those places where safety is of utmost concern, the Ariston Andris Lux Eco 10L electric storage water heater with built-in anti-Legionella system is suitable for installation in schools, hospitals and care homes, as well as homes and light commercial premises. Extremely efficient, this 2.5kW storage water heater has a tough titanium enamelled tank and offers fast reheat times. With the Lux Eco's 'Eco Evo' function daily usage is remembered for comfort and savings of up to 15% on energy bills.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux Eco 3100717 oversink electric water heater 2.5kw 10ltr pack,,Unvented water heater;Wall bracket;Pressure relief valve set at 6 bar;2x dielectric junctions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/11/NW-D73809_D73811_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Ariston_AndrisLuxEco_10_2_5KW_EU_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_Andris_Lux_Eco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Ariston_Unvented_Water_Heater_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Eco_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PD69018,Zip Aquapoint AP3/10OB over sink water heater 10ltr,Zip,269.74,"Connecting directly to the mains water supply, the oversink 10L Zip Aquapoint III AP3/10OB unvented water heater is capable of serving fast and plentiful hot water to multiple outlets via conventional taps and mixers. Well-protected and tested for reliability and longevity, the 2kW Aquapoint III is ErP A-rated, ensuring less waste and potential cost savings.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Zip Aquapoint AP3/10OB over sink water heater 10ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/19/D69017_D69019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL_spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Zip_Aquapoint_III_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Aquapoint_III_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PD70510,Heatrae Sadia Streamline 10 oversink and spout 10ltr 3kw,Heatrae Sadia,420.97,"The contemporary, slimline 3kW Heatrae Sadia Streamline 10L oversink vented water heater is designed for mounting above a basin for convenient handwashing and cup filling in washrooms or office breakrooms. Quick and straightforward to install, the Streamline requires only a cold water supply and mains electricity and with a range of safety features and requiring minimal maintenance it's an ideal choice for spots where small amounts of water are regularly required.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Streamline 10 oversink and spout 10ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/10/D70510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Streamline_Oversink_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Streamline_Taps_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Streamline_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PD70626,Heatrae Sadia FBM Eco 45 electric vented water heater 45ltr,Heatrae Sadia,1690.58,"Designed to service multiple outlets, the Heatrae Sadia FBM Eco 45L is a vented cistern-type water heater suitable for first time installation and as a retrofit unit. An ideal choice for handwashing in customer or office washrooms with more than one sink or for pot filling in commercial kitchens with space to install the heater above an outlet point, the 3kW FBM Eco offers high levels of performance and easy to use controls.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia FBM Eco 45 electric vented water heater 45ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5e/co/HS_FBM25Eco_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_FBM_Eco_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_FBM_Eco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PD70795,Heatrae Sadia Express 15 water heater 15ltr 3kw,Heatrae Sadia,511.13,"The easy to install Heatrae Sadia Express 15L vented water heater is equally suitable for domestic and commercial applications. Heating water using a factory-fitted electric heating element and thermostatically controlled by an adjustable thermostat, this cistern-fed 3kW water heater is vented for added safety.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Express 15 water heater 15ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/di/a2/D70785_pg_heatraesadia2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Express_7_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Megalife_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PD68172,Santon Aquarius AU10/3 undersink water heater 10ltr 3kw,Santon,309.23,"Designed for under-sink installation, the Santon Aquarius AU10/3 vented water heater can also be supplied by a cold water cistern or feed tank. When used in this way, the base of the cistern should be no higher than 10M above the top of the water heater. A vent pipe must also be used. Supplying one basin when used with vented taps, this single point water heater stores a generous 10L of water.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Santon Aquarius AU10/3 undersink water heater 10ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/72/NW-D68171_D68172_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Santon_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Aquarius_Undersink_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/D68172_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aquarius_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PD69920,Ariston Andris Lux Eco 3100717 10L Over Sink 2.5kW,Ariston,251.96,"Ariston's 10L storage Andris Lux Eco is a compact unvented electric water heater, designed to suit a wide range of locations, from building sites to office bathrooms or coffee shop kitchens. Incorporating Italian design alongside ErP A-rated energy efficiency plus durability and performance you can rely on, the premium 2.6kW Andris Lux Eco includes cutting-edge anti-legionella and anti-overheating functions for safe commercial use.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux Eco 3100717 10L Over Sink 2.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/24/D69920_D69924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/o_/ds/Ariston_AndrisLuxEco_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_AndrisLuxEco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_AndrisLuxEco_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PD69922,Ariston Andris Lux Eco 3100721 15L Over Sink 2.5kW,Ariston,283.96,"Ariston's 15L storage Andris Lux Eco is a compact unvented electric water heater, designed to suit a wide range of locations, from building sites to office bathrooms or coffee shop kitchens. Incorporating Italian design alongside ErP A-rated energy efficiency, plus durability and performance you can rely on, the premium 2.5kW Andris Lux Eco includes cutting-edge anti-legionella and anti-overheating functions for safe commercial use.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux Eco 3100721 15L Over Sink 2.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/24/D69920_D69924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/o_/ds/Ariston_AndrisLuxEco_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_AndrisLuxEco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_AndrisLuxEco_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PD70995,Heatrae Sadia Express 15 express pack 15ltr 240V 3kW,Heatrae Sadia,259.99,"The easy to install Heatrae Sadia Express 15L vented water heater is equally suitable for domestic and commercial applications. Heating water using a factory-fitted electric heating element and thermostatically controlled by an adjustable thermostat, this cistern-fed 3kW water heater is vented for added safety.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Express 15 express pack 15ltr 240V 3kW,,Water heater;Heater;Spout;Valve;Fixing screws;Raw plugs;Fitting Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/90/D70990_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Express_7_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PD68162,Santon Aquarius A10/3 oversink water heater 10ltr 3kw,Santon,354.9,"The 10L Santon Aquarius A10/3 oversink vented water heater is designed for convenient point-of-use installation ideal for handwashing and dishwashing. Supplied with a valve, spout and fixtures, the 3kW Aquarius provides straightforward installation and thanks to an easily removed heater plate, maintenance is simple too.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Santon Aquarius A10/3 oversink water heater 10ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/70/D68170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aquarius_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Aquarius_Oversink_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PD69026,Zip Varipoint II VP153 oversink water heater 15ltr,Zip,676.57,"The 15L Zip Varipoint II VP153 unvented oversink water heater is suitable for direct connection to incoming mains water supplies, delivering reliable hot water to one or more conventional tap outlets. The ErP A-rated Varipoint II has a tough, impact-resistant casing and highly efficient insulation while an adjustable thermostat provides flexibility and comfort for handwashing and other hot water tasks.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Zip Varipoint II VP153 oversink water heater 15ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/28/D69025_D69028_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL_spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Varipoint II_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Zip_Varipoint_II_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Varipoint_II_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Brochure.pdf
