,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Grade,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Angle,End Connection B size,Feature 9,Attachment 1,Attachment 2,Attachment 3,Warranty
26,PM50554,VIC-GRV 114.3 *11 45 DEG ELBOW GALV  100,Victaulic,114.27,"Made of stainless steel, this Victaulic 114.3 x 114.3mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 114.3 *11 45 DEG ELBOW GALV  100",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/54/NW-M50553_M50554_wm.jpg,,Grooved End,,GRV,N,LPCBVdS,Equal,114.3 mm,114.3 mm,,Stainless Steel,114.3 x 114.3 mm,Grooved,Grooved,F00110040ZZG000,Elbow,N,Supplied with Victaulic OGS grooves,Galvanised finish,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,45,,,,,,
27,PM50086,Victaulic QuickVic grade E high pressure joint 100mm,Victaulic,85.92,"Made of ductile iron, this Victaulic QuickVic Style 107N 114.3 x 114.3mm rigid coupling with grooved, lubricated connections creates a rigid pipe joint designed to restrict axial or angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic grade E high pressure joint 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/NW-M50084_M50086_wm.jpg,Orange,Grooved/Lubricant,4,QuickVic,N,CYLUSFMLPCBVdS,Equal,114.3 mm,114.3 mm,EPDM EHP,Ductile Iron,114.3 x 114.3 mm,Grooved/Lubricant,Grooved/Lubricant,C107N0040ZZPEM0,Rigid Coupling,N,Installation-ready technology,Orange colour,"Sizes 2 - 12""",DN50 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, FM, LPCB and VdS approvals",,,,,,,12 Months
28,PM52164,Victaulic V0410029- F029M Equal T & F029T RD T w/THD Branche F029T- F029T BSP threaded tee 76.1 x 50mm,Victaulic,168.52,"Used to connect pipes, this stainless steel Victaulic 76.1 x 50 x 76.1mm 90° threaded tee creates a change in direction while adapting sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic V0410029- F029M Equal T & F029T RD T w/THD Branche F029T- F029T BSP threaded tee 76.1 x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/64/NW-M52164_wm.jpg,,Grooved x BSP x Grooved,,V0410029- F029M Equal T & F029T RD T w/THD Branche,N,cf submittal,Unequal,76.1mm,76.1mm,,Stainless Steel,76.1 x 50 x 76.1 mm,Grooved x BSP x Grooved,Grooved,F029TM07602PMC0,tee,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",,,,,,90,50 mm,,,,,
29,PM50404,Victaulic 90deg galvanised elbow 80mm,Victaulic,97.59,"Made of stainless steel, this Victaulic 88.9 x 88.9mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg galvanised elbow 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/05/NW-M50403_M50405_wm.jpg,,Grooved End,,,N,LPCBVdS,Equal,88.9mm,88.9mm,,Stainless Steel,88.9 x 88.9 mm,Grooved,Grooved,F00100030ZZG000,Elbow,N,Supplied with Victaulic OGS grooves,Galvanised finish,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
30,PM50051,VIC-GRV  88.9 *75 GRADE E JOINT GALV  80,Victaulic,87.58,"Made of ductile iron, this Victaulic 88.9 x 88.9mm flexible coupling with grooved, lubricated connections creates a pipe joint that allows for expansion, contraction and deflection. This fitting is up to 50% lighter in weight than standard Style 77 or Style 177N flexible couplings.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  88.9 *75 GRADE E JOINT GALV  80",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/52/NW-M50051_M50052_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Style_75_FlexCoupling_Tech.pdf,,,
31,PM50382,Victaulic 90deg elbow 200mm,Victaulic,513.84,"Made of steel, this Victaulic 219.1 x 219.1mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg elbow 200mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/82/NW-M50382_wm.jpg,Orange,Grooved End,8,GRV,N,LPCBVdS,Equal,219.1 mm,219.1 mm,,Steel,219.1 x 219.1 mm,Grooved,Grooved,F00100080ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
32,PM51860,Victaulic QuickVic flexible coupling epdm 114.3mm,Victaulic,86.76,"Made of ductile iron, this Victaulic QuickVic 114.3 x 114.3mm flexible coupling with grooved, lubricated connections creates a pipe joint designed to accommodate a limited amount of linear and angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic flexible coupling epdm 114.3mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/60/NW-M51860_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_QuickVic_FlexCoupling_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/17/7n/Victaulic_QuickVic_ABS_Approval_177N.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Victaulic_QuickVic_Style177N_Install.pdf,
33,PM51764,Victaulic Vic-300 MasterSeal butterfly valve 125mm,Victaulic,503.52,"Made of ductile iron, this Victaulic Vic-300 MasterSeal 139.7 x 139.7mm butterfly valve is suitable for use in pressures from vacuum to 300 psi (2065 kPa). Featuring a narrow profile disc design with a smoothly coated inner body, this valve offers excellent flow characteristics with low break-away torque, for a reduction in gear operator and actuator size and cost. The standard polyphenylene sulphide blend (PPS) coating allows for use in a variety of severe services while the dual-seal disc provides a bubble-tight seal right up to 300 psi (2065 kPa) in both directions with no added valve modifications required.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-300 MasterSeal butterfly valve 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/65/NW-M51761_M51765_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Vic-300_Butterfly_Val_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Victaulic_Vic-300_761_461_Instal.pdf,,
34,PM50379,Victaulic 90deg elbow 125mm,Victaulic,166.01,"Made of steel, this Victaulic 139.7 x 139.7mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg elbow 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/NW-M50375_M50380_wm.jpg,Orange,Grooved End,5,GRV,N,LPCBVdS,Equal,139.7 mm,139.7 mm,,Steel,139.7 x 139.7 mm,Grooved,Grooved,F0010M139ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
35,PM50006,VIC-GRV 139.7  *75 GRADE E JOINT     125,Victaulic,160.99,"Made of ductile iron, this Victaulic 139.7 x 139.7mm flexible coupling with grooved, lubricated connections creates a pipe joint that allows for expansion, contraction and deflection. This fitting is up to 50% lighter in weight than standard Style 77 or Style 177N flexible couplings.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 139.7  *75 GRADE E JOINT     125",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/06/NW-M50002_M50006_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Style_75_FlexCoupling_Tech.pdf,,,
36,PM50625,Victaulic equal tee 100mm,Victaulic,157.65,"Made of steel, this Victaulic 114.3 x 114.3 x 114.3mm 90° equal tee with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic equal tee 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/27/NW-M50622_M50627_wm.jpg,Orange,Grooved,4,GRV,N,CYLUSFMLPCBVdS,Equal,114.3 mm,114.3 mm,,Steel,114.3 x 114.3 x 114.3 mm,Grooved,Grooved,F00200040ZZP000,tee,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,90,114.3 mm,,,,,
37,PM50855,Victaulic Vic-Flange 139.7 grade E adaptor (PN16),Victaulic,206.03,"Made of ductile iron, this Victaulic Vic-Flange 139.7 x 139.7mm flange adapter directly incorporates flanged components with PN10 and PN16 bolt hole patterns into a grooved pipe system.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-Flange 139.7 grade E adaptor (PN16)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/56/NW-M50852_M50856_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Victaulic_Vic-Flange_Adapters_Guide.pdf,,,
38,PM50160,VIC-GRV 273.0  *07 GRADE E ZERO-FLEX 250,Victaulic,332.0,"Made of ductile iron, this Victaulic Zero-Flex 273 x 273mm rigid coupling with Style 07 coupling angle pad design adjusts to standard pipe and roll or cut groove tolerances for positive clamping to a pipe, resisting flexural and torsional loads.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 273.0  *07 GRADE E ZERO-FLEX 250",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/60/NW-M50159_M50160_wm.jpg,Orange,Grooved/Lubricant,,Zero-Flex,N,CYLUSDVGWFMLPCB 104-1a/02VdS,Equal,273 mm,273 mm,EPDM,Ductile Iron,273 x 273 mm,Grooved/Lubricant,Grooved/Lubricant,C00070100ZZPEM0,Rigid Coupling,N,Angled bolt pad for rigidity,Orange colour,DN25 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, DVGW and FM approved",LPCB 104-1a/02,,,VdS approval,,,,12 Months
39,PM51136,VIC-GRV 114.3 *100 90 D LR ELBOW GLV 100,Victaulic,283.59,"Made of stainless steel, this Victaulic 114.3 x 114.3mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 114.3 *100 90 D LR ELBOW GLV 100",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/36/NW-M51136_wm.jpg,,Grooved End,,GRV,N,LPCBVdS,Equal,114.3 mm,114.3 mm,,Stainless Steel,114.3 x 114.3 mm,Grooved,Grooved,F01000040ZZG000,Elbow,N,Supplied with Victaulic OGS grooves,Galvanised finish,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
40,PM51762,Victaulic Vic-300 MasterSeal butterfly valve 80mm,Victaulic,273.76,"Made of ductile iron, this Victaulic Vic-300 MasterSeal 88.9 x 88.9mm butterfly valve is suitable for use in pressures from vacuum to 300 psi (2065 kPa). Featuring a narrow profile disc design with a smoothly coated inner body, this valve offers excellent flow characteristics with low break-away torque, for a reduction in gear operator and actuator size and cost. The standard polyphenylene sulphide blend (PPS) coating allows for use in a variety of severe services while the dual-seal disc provides a bubble-tight seal right up to 300 psi (2065 kPa) in both directions with no added valve modifications required.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-300 MasterSeal butterfly valve 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/65/NW-M51761_M51765_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Vic-300_Butterfly_Val_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Victaulic_Vic-300_761_461_Instal.pdf,,
41,PM50052,Victaulic Flexible Coupling grade E galvanised joint 100,Victaulic,119.27,"Made of ductile iron, this Victaulic 114.3 x 114.3mm flexible coupling with grooved, lubricated connections creates a pipe joint that allows for expansion, contraction and deflection. This fitting is up to 50% lighter in weight than standard Style 77 or Style 177N flexible couplings.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Flexible Coupling grade E galvanised joint 100",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/52/NW-M50051_M50052_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Style_75_FlexCoupling_Tech.pdf,,,
42,PM50085,Victaulic QuickVic grade E high pressure joint 80mm,Victaulic,65.08,"Made of ductile iron, this Victaulic QuickVic Style 107N 88.9 x 88.9mm rigid coupling with grooved, lubricated connections creates a rigid pipe joint designed to restrict axial or angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic grade E high pressure joint 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/NW-M50084_M50086_wm.jpg,Orange,Grooved/Lubricant,3,QuickVic,N,CYLUSFMLPCBVdS,Equal,88.9mm,88.9mm,EPDM EHP,Ductile Iron,88.9 x 88.9 mm,Grooved/Lubricant,Grooved/Lubricant,C107N0030ZZPEM0,Rigid Coupling,N,Installation-ready technology,Orange colour,"Sizes 2 - 12""",DN50 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, FM, LPCB and VdS approvals",,,,,,,
43,PM50151,VIC-GRV  48.3  *07 GRADE E ZERO-FLEX  40,Victaulic,49.23,"Made of ductile iron, this Victaulic Zero-Flex 48.3 x 48.3mm rigid coupling with Style 07 coupling angle pad design adjusts to standard pipe and roll or cut groove tolerances for positive clamping to a pipe, resisting flexural and torsional loads.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  48.3  *07 GRADE E ZERO-FLEX  40",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/57/NW-M50151_M50157_wm.jpg,Orange,Grooved/Lubricant,1 1/2,Zero-Flex,N,CYLUSDVGWFMLPCB 104-1a/02VdS,Equal,48.3 mm,48.3 mm,EPDM,Ductile Iron,48.3 x 48.3 mm,Grooved/Lubricant,Grooved/Lubricant,C00070014ZZPEM0,Rigid Coupling,N,Angled bolt pad for rigidity,"Sizes 1- 12""",DN25 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, DVGW and FM approved",LPCB 104-1a/02,,,VdS approval,,,,
44,PM50003,VIC-GRV  76.1  *75 GRADE E JOINT      65,Victaulic,61.72,"Made of ductile iron, this Victaulic 76.1 x 76.1mm flexible coupling with grooved, lubricated connections creates a pipe joint that allows for expansion, contraction and deflection. This fitting is up to 50% lighter in weight than standard Style 77 or Style 177N flexible couplings.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  76.1  *75 GRADE E JOINT      65",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/06/NW-M50002_M50006_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Style_75_FlexCoupling_Tech.pdf,,,
45,PM50405,Victaulic 90deg galvanised elbow 100mm,Victaulic,130.97,"Made of stainless steel, this Victaulic 114.3 x 114.3mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg galvanised elbow 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/05/NW-M50403_M50405_wm.jpg,Galvanised,Grooved End,,GRV,N,LPCBVdS,Equal,114.3 mm,114.3 mm,,Stainless Steel,114.3 x 114.3 mm,Grooved,Grooved,F00100040ZZG000,Elbow,N,Supplied with Victaulic OGS grooves,Galvanised finish,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
