,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 2,End Connection B size,Feature 5,Feature 6,Angle,Connection Type 2,Gender,Feature 7,Weight
113,PP91027,"Uponor S-Press male iron straight connector 40mm x 1 1/4""",Uponor,23.78,"These Uponor S-Press 40mm x 1 1/4"" adapters are made of tin-plated brass material. They offer fast installation with an easy bevel and no need to calibrate.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press male iron straight connector 40mm x 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/28/NW-P91027_P91028_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
114,PR12723,Riifo 16Mm X 15Cu Cppr Tail F5-S1216X15Cu,Riifo,11.17,"Offering quick installation via reliable press-fit connections, the Rehau 16mm x 15Cu copper pipe with tail is WRAS approved and suitable for hot/cold water and heating applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Riifo 16Mm X 15Cu Cppr Tail F5-S1216X15Cu",,MLCP press fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/23/R12723_wm.jpg,,,N,WRAS,Unequal,15mm copper pipe,N/A,Ni Coated Brass / Copper pipe,16mm x 15 Cu,16mm,1100052346,MLCP press fittings,N,Brass construction,Nickel-coated finish,Press-fit connection,Double O-ring seals,,N/A,For use with PEX/AL/PEX pipe,WRAS approved,,,,,
115,PP14779,Uponor S-Press Plus 1039946 tee PPSU 25 - 25 - 25mm,Uponor,15.16,This Uponor S-Press Plus 25 x 25 x 25mm 90° tee with press indicator is made of polyphenylsulfone (PPSU) and includes press-fit connections and a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1039946 tee PPSU 25 - 25 - 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/80/NW-P14777_P14780_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
116,PP91028,"Uponor S-Press male iron straight connector 50mm x 1 1/2""",Uponor,33.8,"These Uponor S-Press 50mm x 1 1/2"" adapters are made of tin-plated brass material. They offer fast installation with an easy bevel and no need to calibrate.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press male iron straight connector 50mm x 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/28/NW-P91027_P91028_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
117,PP14819,"Uponor S-Press Plus 1070521 female thread adapter 32 - 1""",Uponor,18.51,"This Uponor S-Press Plus 32mm x 1"" adapter is made of tin-plated DR brass with threaded connections. Suitable for use in hot and cold systems, this fitting is also suitable for installation in heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070521 female thread adapter 32 - 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/19/NW-P14817_P14819_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
118,PP14815,"Uponor Uni Pipe PLUS female thread adapter 20 - 3/4""",Uponor,9.18,"Fitted with a female threaded connection, this Uponor Uni Pipe PLUS 20mm x 3/4"" adapter is manufactured in a tough DZR brass.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni Pipe PLUS female thread adapter 20 - 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/15/NW-P14815_wm.jpg,,Uni Pipe Plus,N,WRAS,Unequal,20 mm,3/4 InchØ,DZR Brass,20 mm x 3/4 inch,Female Thread,1070517,Adaptor,N,Suitable for hot and cold and heating systems,10 bar at 80°C heating alternative to copper and stainless,Brass construction,WRAS approved,,,,,,,,,
119,PR12616,"Riifo 25mm x 3/4"" F5 female couplers",Riifo,4.91,"Offering time saving efficiency, the Riifo F5 25mm x 3/4"" female coupler is part of a press-fit system suitable for use in hot and cold or heating applications. Fast and easy to press, Rifeng-manufactured F5 fittings are highly reliable and incorporate double O-ring seals for excellent water-tightness.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Riifo 25mm x 3/4"" F5 female couplers",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/50/598650_wm.jpg,,,N,WRAS,Unequal,25 mm,N/A,Ni Coated Brass,25mm x 3/4,Press fit,1100044498,MLCP press fittings,N,Nickel-coated brass body,Press-fit connection,With double O-ring seals,For use with RIIFO PEX/AL/PEX pipe,,3/4 BSP,Full WRAS approval.,,,,,,
120,PP31056,"Uponor S-Press Plus female thread elbow 16 - 1/2""",Uponor,7.49,"This Uponor S-Press Plus 16mm x 1/2"" 90° elbow with press indicator and threaded connections is suitable for use in hot and cold and heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus female thread elbow 16 - 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/59/NW-P31056_P31059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
121,PP31074,Uponor S-Press Plus tee 20 - 20 - 20mm,Uponor,12.78,This Uponor S-Press Plus 20 x 20 x 20mm 90° equal tee with press indicator and press-fit connections is suitable for use in hot and cold and heating systems. This fitting is supplied with a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus tee 20 - 20 - 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/76/NW-P31073_P31076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
122,PP14807,"Uponor S-Press Plus 1070505 male thread adapter 20 - 3/4""",Uponor,7.61,"This Uponor S-Press Plus 20mm x 3/4"" adapter is made of tin-plated DR brass with threaded connections. Suitable for use in hot and cold systems, this fitting is also suitable for installation in heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070505 male thread adapter 20 - 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/07/NW-P14804_P14807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
