,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Material Type,Nut Types,Type,Feature 4,Feature 5,Diameter,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Dimensions (L x W x D),Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Colour,Application,Dimensions mm (H x W x D),Pack Type,Bolt Type,Head Type,Feature 15,Feature 16,Feature 17,Feature 18,Weight,Warranty
17,PN51726,Owlett Jaton Premium plastic plugs 5.5 mm Red (Pack of 100),Owlett Jaton,3.07,These JCP Premium 6mm red wall plugs are made of high density polyethylene and are suitable for placing wood screws into concrete and masonry base materials.,Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Owlett Jaton Premium plastic plugs 5.5 mm Red (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/26/NW-N51726_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Premium_Plug_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P439218,Regin diverter valve fibre washer pack,Regin,2.48,"This pack of Regin diverter valve washers contains 1/2"", 3/4"" and 1"" washers made of a general purpose commercial non-asbestos fibre material suitable for oils, fuels, low pressure steam and water. These washers offer excellent resistance to gas leakage.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Regin diverter valve fibre washer pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/18/NW-439217_439218_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P257473,Center rubber doughnut washer (1),Center,3.07,"Suitable for use on WC cisterns with a 1 1/2"" outlet, this Center studio close coupling kit doughnut washer provides a reliable seal between cistern and pan.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Center rubber doughnut washer (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/73/257473_wm.jpg,,,,,1,N,Rubber,100 mm,1,N/A,PPSTRA374528,N,High-quality rubber construction,Secure fit between cistern and pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P257481,Center studio doughnut washer (1),Center,3.65,"Suitable for use on coupled WC cisterns with a 1 1/2"" outlet, this Center studio close coupling kit doughnut washer provides a reliable seal between cistern and pan.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Center studio doughnut washer (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/81/257481_wm.jpg,,,,,1,N,Rubber,112 mm,1,N/A,PPSTRA374529,N,Rubber construction,Suitable for most coupled cisterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P798780,Regin circulation pump washer,Regin,2.48,A pack of Regin replacement circulation pump washers in 44.95/43.95 x 2.2/1.8mm with 32.1/31.4mm inside diameters.,Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Regin circulation pump washer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/80/NW-798780_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P257466,"Center poly washer 1 1/4"" (5)",Center,1.94,"Ensuring a watertight seal, these Center 1 1/4"" poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Center poly washer 1 1/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/66/257466_wm.jpg,,,,,5,N,Polyethylene,1.1/4,5,N/A,PPSTRA374526,N,Pack of 5,Low density polyethylene construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PIS5485,"Unifix countersunk pozi woodscrew 8mm x 1.1/2"" Zinc Plated (Pack of 200)",Unifix,5.75,"Suitable for use in softwood applications, these Unifix TwinQwik 1 1/2 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Unifix countersunk pozi woodscrew 8mm x 1.1/2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/85/NW-IS5485_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P257468,"Center sink poly washer 1 1/2"" (5)",Center,2.62,"Ensuring a watertight seal, these Center 1 1/2"" sink poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Center sink poly washer 1 1/2"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/68/257468_wm.jpg,,,,,5,N,Polyethylene,1 1/2,5,N/A,PPSFLS374464,N,Pack of 5,Low density polyethylene construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PIN4611,Fischer Express cement cartridge 310ml Grey,Fischer,5.31,"Ready to use and paintable, Fischer Express cement is a repairing mortar suitable for everything from renovating masonry and fixing roof tiles to sealing drill holes and general repair work. Practically odour-free and with a stable consistency, this cement is resistant to weather, ageing and UV. Protected against frost down to -15°C in the cartridge, Fischer Express is reusable with no need to add water or pre-mix, saving time and mess and reducing waste. Workable in most weathers, this water-based polymer offers good adhesion on slightly damp substrates and has been designed with the visual appearance of the mortar in mind for a discreet finish.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Fischer Express cement cartridge 310ml Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/11/NW-IN4611_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fischer_Express_Cement_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fischer_Express_Cement_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT83567,JET Range zinc plated cold form hex nut (grade 8) (m10) (200 per bag),JET Range,0.29,This JET Range M10 size cold form hexagon nut is made of steel with a bright zinc finish.,Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> JET Range zinc plated cold form hex nut (grade 8) (m10) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,,,,200 per bag,N,Steel,M10,,,.10MNXFOZ,N,Reliable,Easy to replace,Grade 8 steel material,,BZP Steel,Hexagon,Hex Nut,Bright zinc-coated,200 per bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P257454,"Center Washers flat tap washer 3/4"" (5)",Center,2.02,"Suitable for a variety of tap sizes, these Center 3/4"" flat tap washers are used to repair worn and leaking taps.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Center Washers flat tap washer 3/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/54/257454_wm.jpg,,,,,5,N,Rubber,3/4,5,Flat Washer,PPSTAP374522,N,Pack of 5,Thermoplastic rubber/evoprene 964 construction,Black colour,Washers,,,,Fits most standard taps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PS01127,Georg Fischer free standing toilet with bidet fixing set (plugs/screws/caps/bushes),Georg Fischer,9.13,A Georg Fischer freestanding toilet and bidet fixing set.,Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Georg Fischer free standing toilet with bidet fixing set (plugs/screws/caps/bushes),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/27/NW-S01127_wm.jpg,,,,,,N,,,,,535878,N,Suitable for pre-positioned and push-through installation,"Includes plugs, screws, caps and bushes",,,,,Toilet with Bidet Fixing Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
